feature_path,read_success,error,shape,dtype,count,dim,nan_count,inf_count,zero_vector_count,norm_min,norm_p01,norm_p25,norm_median,norm_p75,norm_p99,norm_max,norm_mean,norm_sd,slide_id,scale
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_5x/2460239-B2.h5,True,,"[187,512]",float32,187,512,0,0,0,61.17950274065442,65.4292338036364,77.17919656703467,79.24742629908611,81.88213644371534,85.87152744041587,87.5905064012521,79.15344223784011,3.935001601527899,2460239-B2,5x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_5x/2460242-B2.h5,True,,"[426,512]",float32,426,512,0,0,0,65.73264494882103,69.9429941470773,76.50168575830668,79.06845770293766,81.11600284225919,86.3052007659004,88.38358628771599,78.73440451536231,3.7345166621424295,2460242-B2,5x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_5x/2460399-B2.h5,True,,"[285,512]",float32,285,512,0,0,0,65.43842579342234,69.60044916948473,77.16643174260602,80.51557532926415,82.74525949626008,87.3263967903955,88.33841197523529,79.94344754666669,4.046646889566254,2460399-B2,5x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_5x/2460404-B3.h5,True,,"[308,512]",float32,308,512,0,0,0,61.202654811603935,70.35927517831436,77.37522783204103,79.53623193697317,81.83734932392693,86.9269122191126,88.7134880061053,79.48020697008636,3.7396877731661196,2460404-B3,5x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_5x/2460405-B2.h5,True,,"[128,512]",float32,128,512,0,0,0,66.11064410164971,69.66337156389771,76.10254252134393,78.58099332119951,80.81043581099908,84.02549973869102,85.41201824774546,78.2110487113334,3.4879918709305877,2460405-B2,5x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_5x/2460591-B2.h5,True,,"[253,512]",float32,253,512,0,0,0,67.39521208570194,68.8953571121334,79.52459182984714,82.79959118680969,84.81905050485663,88.94769774191096,89.35086978849219,81.93717680750925,4.162815513061603,2460591-B2,5x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_5x/2460602-B.h5,True,,"[252,512]",float32,252,512,0,0,0,70.7316767609892,73.40563856567444,80.8409028403886,82.89425264896164,85.13236498729854,88.94802057951762,90.11532507697629,82.56632894207513,3.4506488970732874,2460602-B,5x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_5x/2460628-B2.h5,True,,"[190,512]",float32,190,512,0,0,0,69.19886123599578,70.63791065175701,76.82875546586536,79.488045944049,82.23843886200389,86.17042934174727,87.08247982861367,79.39085001444265,3.6636473899233404,2460628-B2,5x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_5x/2460641-B2.h5,True,,"[242,512]",float32,242,512,0,0,0,67.0158191244433,69.84737083135823,76.03132145069543,78.48062199932212,80.5519035685219,84.28926117469774,85.43315804821493,78.11629924882524,3.140670744283132,2460641-B2,5x
/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_5x/2460643-B.h5,True,,"[182,512]",float32,182,512,0,0,0,67.86964300232891,68.53424600951386,76.77637110256003,80.42413008139363,82.70133085391129,87.13404744405426,87.65634436860991,79.74759764206681,4.236305523966431,2460643-B,5x
