,folds,test_auc,test_acc,test_f1
0,0,0.9772727272727273,0.9378238341968912,0.9304086538461538
1,1,0.9885468861846815,0.9533678756476685,0.9483788522690124
2,2,0.9891434025292293,0.9533678756476685,0.9480017961383027
3,3,0.9632545931758529,0.9119170984455959,0.9044359653977223
4,4,0.9399308041040324,0.8549222797927462,0.8363614341085271
5,5,0.9458363159150561,0.9015544041450777,0.89022601406975
6,6,0.9890240992603196,0.9533678756476685,0.9480017961383027
7,7,0.9872942018611309,0.927461139896373,0.9210495558672277
8,8,0.9613457408732999,0.9222797927461139,0.9156787929979903
9,9,0.9840133619661179,0.9585492227979274,0.9539489382009068
