fold,mode,n_slides,auc,accuracy,macro_f1,delta_auc,delta_accuracy,delta_macro_f1,mean_absolute_probability_change,changed_prediction_count
0,normal,194,0.9698153409090909,0.9432989690721649,0.937077989090373,0.0,0.0,0.0,0.0,0
0,context_mean,194,0.9700520833333334,0.9432989690721649,0.937077989090373,0.00023674242424243097,0.0,0.0,0.0008433375891735119,0
0,residual_off,194,0.9698153409090909,0.9432989690721649,0.937077989090373,0.0,0.0,0.0,0.001289666215493221,0
1,normal,194,0.9890703960512398,0.9639175257731959,0.95966376570529,0.0,0.0,0.0,0.0,0
1,context_mean,194,0.9890703960512399,0.9639175257731959,0.95966376570529,1.1102230246251565e-16,0.0,0.0,0.002671079515095353,0
1,residual_off,194,0.9880126924432954,0.9639175257731959,0.95966376570529,-0.001057703607944438,0.0,0.0,0.003735855914184286,0
