fold,epoch,train_loss,train_acc,train_auc,train_f1,val_loss,val_acc,val_auc,val_f1,duration_seconds
1,1,0.8673488343031163,0.7279151943462898,0.8462209870802385,0.6320848793123397,0.21835348428973542,0.9230769230769231,0.9870396739255113,0.8975941340790862,70.82
1,2,0.38223867559470703,0.8692579505300353,0.9587107841100139,0.8324998842431818,0.2195178337292454,0.9285714285714286,0.9883309264237274,0.9055189876269902,72.18
1,3,0.33493126562056486,0.8904593639575972,0.9684529389323243,0.8580711397708393,0.19361368046806102,0.9285714285714286,0.9900985441775592,0.9203660937210761,70.96
1,4,0.358570189289221,0.892226148409894,0.9666294134672521,0.8617295670276294,0.20719667156553767,0.9285714285714286,0.9878446822748831,0.9190459830498513,66.03
1,5,0.24027098043155048,0.9240282685512368,0.9832106551460938,0.904794832121962,0.2908625041733301,0.9395604395604396,0.9859852497301222,0.9312947921643575,66.72
1,6,0.25322907993339844,0.9081272084805654,0.9820700622100754,0.873082847766392,0.4174665056364619,0.8901098901098901,0.9867717678077955,0.8651061285226426,68.18
1,7,0.21824513475787358,0.9257950530035336,0.9885458967914524,0.9056139128734411,0.5116551012253071,0.8846153846153846,0.9882136623702927,0.8258517227127093,66.58
1,8,0.25686707163441025,0.9151943462897526,0.9832136151516244,0.8918058654827933,0.286593157862564,0.9285714285714286,0.9890439828941076,0.9133861551292743,64.45
1,9,0.209945521787022,0.9346289752650176,0.9879132130236786,0.9184171404992277,0.35360144220140144,0.9230769230769231,0.9896542556958331,0.9096508919218923,64.38
1,10,0.188699673700582,0.9469964664310954,0.990380670549104,0.9306871114371303,0.2788965937195555,0.9395604395604396,0.9895504927394594,0.9368634796707015,64.62
1,11,0.15254127308317467,0.950530035335689,0.9935577056918444,0.9244374995774381,0.32905591726504574,0.8901098901098901,0.985161040377092,0.8806117254393117,67.28
1,12,0.17019833920854818,0.950530035335689,0.9929978708368951,0.9430201777272472,0.4123452006490353,0.9230769230769231,0.9849105626484089,0.9080668193225122,65.44
1,13,0.14789236135229467,0.9558303886925795,0.9943964214641591,0.9377203834028346,0.4618972954505665,0.9285714285714286,0.9844492081690879,0.922656023222061,64.69
1,14,0.11796923338025657,0.9611307420494699,0.9965941505757735,0.9515444482039911,0.4266507794862214,0.9285714285714286,0.9844631486321674,0.9187182421494838,65.3
1,15,0.056161184179305455,0.9787985865724381,0.9991338552582661,0.9783273169479214,0.5694654559212123,0.9065934065934066,0.9864254193386989,0.8911788075260615,62.65
2,1,0.7690729441399152,0.7472924187725631,0.8721367039780151,0.6652253754542691,0.3091743847456695,0.89,0.9758932661253178,0.8684916648982576,72.79
2,2,0.45047402466077907,0.8393501805054151,0.9494959776000491,0.8051002687709544,0.45184384085718193,0.825,0.9721152703391324,0.785182057036629,63.32
2,3,0.350347055182466,0.8808664259927798,0.9653917877721255,0.8542100916306081,0.49814644995313856,0.83,0.9652197736945268,0.7796400094093979,66.95
2,4,0.2815531373985611,0.907942238267148,0.9759786681290542,0.8836181362497152,0.39058217520164024,0.865,0.9779768496135001,0.7910636821100122,64.33
2,5,0.2958150626573456,0.8898916967509025,0.9764642550903845,0.8587455528376151,0.3198081355492485,0.875,0.9806757858421128,0.8263088263088263,64.82
2,6,0.21707591257241715,0.924187725631769,0.9868020869608086,0.9068134763786938,0.4862965047308377,0.85,0.9816569002261408,0.8161612266875425,66.32
2,7,0.1849153438665605,0.9422382671480144,0.98952026331997,0.9325901491169265,0.2677357748529466,0.925,0.984821717906502,0.9156826056826057,70.23
2,8,0.21835981939915475,0.9314079422382672,0.9876441220593034,0.9178241078825736,0.4824739819353272,0.89,0.9693154484455911,0.8888095641213761,68.97
2,9,0.27716648753916523,0.9187725631768953,0.9832338156240209,0.9019746873811152,0.4274323833193816,0.875,0.981999063799423,0.8374424321633059,60.8
2,10,0.17211784507467992,0.9368231046931408,0.9914657361965289,0.9211646075601195,0.552987859766326,0.865,0.9789917713226431,0.8419807803683704,67.6
2,11,0.10054275266175128,0.9657039711191335,0.9967625424343368,0.956737810432016,0.5755250946507722,0.885,0.9796498272503484,0.8578112577357481,63.15
2,12,0.19076838992572814,0.9404332129963899,0.9912571485682083,0.9243571687602666,0.5050917084576941,0.865,0.9789523306975242,0.8387735186553211,63.39
2,13,0.16166075072906175,0.9566787003610109,0.9923361214759897,0.9474195257876472,0.5969409591783682,0.84,0.9721467956338478,0.8239361282839543,68.3
2,14,0.2410811113831767,0.927797833935018,0.9856642002366448,0.9092671605865474,0.4660548215337654,0.885,0.9777172002223398,0.8601616839179321,63.23
2,15,0.061192414251816936,0.98014440433213,0.9985762724905239,0.9802708115797083,0.5773681577173049,0.885,0.9697660229299837,0.8835627199597788,60.91
2,16,0.17056207882360705,0.9512635379061372,0.993507343569335,0.939066267913237,0.4944864869854787,0.885,0.9698393173600909,0.864322757346013,60.9
2,17,0.16870848306459635,0.9512635379061372,0.9932765998704568,0.9444073107716752,1.140775506763091,0.865,0.9488699543458344,0.8518193277310925,70.1
3,1,0.7263194624761592,0.7855855855855856,0.8903640891677623,0.7119571505107952,0.3305509239967627,0.8839779005524862,0.9734251422930669,0.8649582810470466,66.94
3,2,0.42178046691640875,0.8612612612612612,0.9548297323817113,0.8322005437390052,0.3213746729311674,0.8729281767955801,0.9753663527248433,0.8338936049801924,63.35
3,3,0.3547370213207543,0.872072072072072,0.9656546214445374,0.8415432281679331,0.2597017756232964,0.8950276243093923,0.9818678875282648,0.8608766483939854,64.66
3,4,0.28515356162618516,0.8990990990990991,0.9782841837614812,0.8782052433365486,0.2792337549268811,0.9060773480662984,0.9783273330443142,0.8876273242664677,65.36
3,5,0.29217316956614203,0.9063063063063063,0.977981326352633,0.8931921942682711,0.31254376750570717,0.9060773480662984,0.9809022214682592,0.8880702805231108,61.24
3,6,0.20029814765754733,0.9243243243243243,0.988561078585882,0.9041027988920368,0.5505106360906321,0.8342541436464088,0.9670772623602814,0.7842900333720407,61.62
3,7,0.2779589885495033,0.9135135135135135,0.9838153208171506,0.8950347361004228,0.35870766442351587,0.9005524861878453,0.9756548395699339,0.884409310496267,64.36
3,8,0.22772623337729136,0.9315315315315316,0.9876391882266103,0.9153901653901654,0.45145796225528556,0.8895027624309393,0.9768488848677528,0.8141369058800252,60.93
3,9,0.24695169114710955,0.9171171171171171,0.9866527916477766,0.9015721120984278,0.5764529528591337,0.8287292817679558,0.9696058134737381,0.800346208761356,63.28
3,10,0.13522621294047432,0.9585585585585585,0.9936159637853187,0.9495424044137719,0.3887155814541023,0.8895027624309393,0.9779554826724639,0.8642505298981998,62.07
3,11,0.20931387232574744,0.9513513513513514,0.9906856969245829,0.9444690474838661,0.4643025634645689,0.8784530386740331,0.9634637549731891,0.8521445457615671,64.75
3,12,0.23608578084813558,0.9351351351351351,0.9883037502716956,0.9227954498910051,0.3784256548849386,0.8895027624309393,0.9751510020377946,0.8661674458649101,66.37
3,13,0.18226264942897072,0.9369369369369369,0.9911752450083977,0.9286831448121772,0.3162309442790547,0.9392265193370166,0.984696374554865,0.9253442244184006,66.09
3,14,0.08959692999817863,0.9711711711711711,0.9972560788733871,0.9634248245240299,0.3073671464220471,0.9337016574585635,0.9855027222951751,0.9148214390676038,67.7
3,15,0.1866592661277973,0.9495495495495495,0.9931989866001794,0.946479806835396,0.2696645024080111,0.9226519337016574,0.9807083028781142,0.906111858910626,62.8
3,16,0.16471390644410758,0.9351351351351351,0.9933875149603667,0.9309167309923883,0.29762754887426046,0.9392265193370166,0.9859304217794783,0.9244101127524343,67.63
3,17,0.13331469943230562,0.9603603603603603,0.9956692691087513,0.9540990556217945,0.6176620734823006,0.8950276243093923,0.9758004224985357,0.8655682390089797,61.08
3,18,0.10590364138791586,0.9675675675675676,0.9974530727572879,0.9635880747459447,0.6988624003520165,0.9171270718232044,0.9765686008610537,0.8979543773405911,61.25
3,19,0.11332874200870362,0.9657657657657658,0.9969623667974847,0.9615715664565946,0.7606759184799322,0.8950276243093923,0.9729430771883602,0.8856818435272769,61.21
3,20,0.18060784043907246,0.9603603603603603,0.9946020422831889,0.9519876544478585,1.0191950553321307,0.8397790055248618,0.9625302370585388,0.8083072733796458,67.32
3,21,0.19691176078464853,0.954954954954955,0.9938817482352994,0.9495077724980273,0.530704937678397,0.9005524861878453,0.9653851913285875,0.861638035551079,69.97
3,22,0.11486685500737057,0.9621621621621621,0.9968317952466096,0.9530824425399441,0.62249200880399,0.9005524861878453,0.9728604990397444,0.8646723193782018,70.08
3,23,0.06614299763264139,0.9747747747747748,0.9987824473875572,0.9668173386758951,0.9076147191208289,0.8839779005524862,0.9659539883596486,0.8594625500285877,64.12
4,1,0.8499352256801024,0.7385964912280703,0.8448231048820111,0.655093747655901,0.4130953512050493,0.8702702702702703,0.9765811531429979,0.8370232301266783,81.39
4,2,0.40338507564923815,0.8508771929824561,0.9545760107287009,0.8007653611966076,0.2655042934818109,0.9081081081081082,0.984327707000663,0.8920548106327923,66.98
4,3,0.3518843787438795,0.8842105263157894,0.966821210642459,0.8509785353535353,0.4315386249826232,0.8756756756756756,0.9865218518572817,0.8584634895207582,64.75
4,4,0.31588445227397693,0.9035087719298246,0.9743284539543243,0.8828351094448994,0.25113158620873116,0.8972972972972972,0.9846852142344805,0.8647417186536175,75.39
4,5,0.2631967008635018,0.9035087719298246,0.9817225894756287,0.8869773020418222,0.33045562050827204,0.9027027027027027,0.9828745879479633,0.8545336611976168,63.0
4,6,0.2896267179279784,0.9087719298245613,0.9783442666365856,0.8806060684576374,0.25664493542956446,0.9081081081081082,0.9872805651526826,0.8895003494060099,66.84
4,7,0.20361071062267577,0.9368421052631579,0.9884261250574132,0.9258051647843604,0.34362693189358795,0.8972972972972972,0.9869265954171614,0.8608806963645673,63.64
4,8,0.2312857665743708,0.9315789473684211,0.98720076705906,0.9186482758913134,0.4237221144640115,0.8756756756756756,0.9821912643610758,0.7997248800050524,65.03
4,9,0.18019099438805591,0.9491228070175438,0.9924465416323437,0.9394026299577253,0.2309378013558574,0.9081081081081082,0.9856318954746627,0.8910904712762298,65.3
4,10,0.1548496817619376,0.9456140350877194,0.9926057348515177,0.9272322333456927,0.38563400214140353,0.8972972972972972,0.9781469807465615,0.8752249212775528,64.36
4,11,0.1873302631707877,0.9473684210526316,0.9910226839644123,0.9343164127192,0.31879413164463183,0.9297297297297298,0.9861329550952194,0.9095878136200716,64.66
4,12,0.1339525471819055,0.9631578947368421,0.9950005339947903,0.9548315688354055,0.40811874489037336,0.8972972972972972,0.9799914155260069,0.8640653357531761,66.05
4,13,0.1978862127359806,0.9543859649122807,0.9918085115829206,0.9442958053347174,0.46502633725584086,0.8810810810810811,0.9821548658655578,0.845300659098168,65.24
4,14,0.11277591542064916,0.9666666666666667,0.9963801075400572,0.9620154572950019,0.3086402493436463,0.9081081081081082,0.9820684292801692,0.8905013646673344,62.28
4,15,0.1597806063818837,0.9578947368421052,0.9930681637810759,0.9531571597023496,0.2645094806909601,0.9081081081081082,0.985296348965112,0.9029197596323789,67.56
4,16,0.13742116469127807,0.9649122807017544,0.9941600556301685,0.9559951073137177,0.4142266182243979,0.9027027027027027,0.9771428497738771,0.8670016406890895,62.56
4,17,0.0634731795366103,0.9824561403508771,0.9984793796633826,0.9791785748162677,1.0304260861595136,0.854054054054054,0.9710267229082743,0.7548741634058204,64.26
4,18,0.17390357064649242,0.9596491228070175,0.9944393220602882,0.9522934247334643,0.4299607354576725,0.9135135135135135,0.9791323274132498,0.8862058676012164,61.7
4,19,0.22541247119303232,0.9456140350877194,0.9858649745303746,0.93812888364417,0.5743255828449573,0.8864864864864865,0.9769791990756351,0.8450624992968127,66.85
4,20,0.1210203497858948,0.9526315789473684,0.9963272313083654,0.9409578405191509,0.5181906441281213,0.9135135135135135,0.9803513783754875,0.8935437832153387,62.92
4,21,0.06955386672842696,0.9771929824561404,0.9973298080442191,0.9765401355597042,0.5063074769928889,0.9189189189189189,0.9818478473929209,0.8930343664191693,63.74
5,1,0.8131706561501165,0.7477797513321491,0.849126300572966,0.6587200341371643,0.2828582342767949,0.8723404255319149,0.9781703422795798,0.8168711551019006,63.53
5,2,0.48909643896023863,0.8650088809946714,0.9439628851285216,0.8257654326610885,0.3212636436494401,0.8776595744680851,0.9801048282323434,0.8549753681252524,63.5
5,3,0.29209714817731364,0.8863232682060391,0.9746812690036504,0.8527283906256239,0.4360768804543197,0.8085106382978724,0.9738295356020631,0.6592775041050903,61.18
5,4,0.2290403107560334,0.9218472468916519,0.9848228566289966,0.8963003097678034,0.389327874805953,0.8936170212765957,0.9794046396751762,0.8785133475534872,66.31
5,5,0.2841026072479125,0.9040852575488455,0.9799383388065538,0.8751055677517008,0.3676425081426006,0.8936170212765957,0.9736446421379817,0.8753218902980286,61.25
5,6,0.2654770565881927,0.9094138543516874,0.9799832173201496,0.8779037074960673,0.43537873706536495,0.851063829787234,0.9751509239583419,0.8128205128205129,62.25
5,7,0.18283659447385908,0.9396092362344582,0.9908252279444306,0.9239093721755266,0.3032526940337527,0.925531914893617,0.9761509833994948,0.8950019677292405,63.66
5,8,0.22726782507230292,0.9253996447602132,0.9859355571830659,0.909150856073854,0.44517556162769933,0.8829787234042553,0.9762886816100703,0.8460914168624353,62.04
5,9,0.24328295383317938,0.9378330373001776,0.9870747067473253,0.9209928562003539,0.3325037414195508,0.8882978723404256,0.9798664210029268,0.8675905582784068,61.64
5,10,0.18949405646034007,0.9342806394316163,0.9903818953669798,0.9151106081426993,0.37310363981726036,0.898936170212766,0.9833598539903382,0.8833790990859054,63.06
5,11,0.1272924490976614,0.9626998223801065,0.9955656739549902,0.9503801044599759,0.6184443967257734,0.8138297872340425,0.9581555367365789,0.8070695779615967,62.15
5,12,0.16763942233184959,0.9484902309058615,0.9932454884939382,0.9359566428705115,0.715414889470589,0.8776595744680851,0.9760727175521867,0.8688541100167181,63.39
5,13,0.11362810748879483,0.9715808170515098,0.9961068821111358,0.9637800333847585,0.43825799361830986,0.9095744680851063,0.97720951655413,0.8926794361090571,61.26
5,14,0.1787144929482364,0.9520426287744227,0.9927556256136209,0.9419823520462498,0.5589128371497174,0.898936170212766,0.9784198758684783,0.8910382898754992,61.09
