fold,feature,rescue_n,harmful_n,rescue_class_0,rescue_class_1,harmful_class_0,harmful_class_1,rescue_mean,harmful_mean,rescue_median,harmful_median,mean_difference_rescue_minus_harmful,raw_rescue_auc,best_orientation,separability_auc
0,high_margin,4,21,4,0,11,10,2.4510672092437744,2.7801315784454355,2.372192859649658,2.4861679077148438,-0.32906436920166104,0.4642857142857143,le,0.5357142857142857
0,low_margin,4,21,4,0,11,10,1.2632837295532244,2.6851758502778624,1.3370475769042969,2.087738037109375,-1.421892120724638,0.2976190476190476,le,0.7023809523809523
0,margin_delta,4,21,4,0,11,10,-1.18778347969055,-0.0949557281675732,-1.0351452827453613,-0.3189253807067871,-1.0928277515229767,0.380952380952381,le,0.6190476190476191
0,log_margin_ratio,4,21,4,0,11,10,-0.6670848035879081,-0.21465366993199883,-0.5813845739782287,-0.14216011266811915,-0.45243113365590926,0.3928571428571429,le,0.6071428571428571
1,high_margin,5,19,1,4,10,9,3.102211761474609,4.5416653281764,3.302471160888672,4.3497467041015625,-1.4394535667017907,0.30526315789473685,le,0.6947368421052631
1,low_margin,5,19,1,4,10,9,3.312438774108881,1.9444835562455045,2.844223022460909,1.3683929443359375,1.3679552178633767,0.6631578947368422,ge,0.6631578947368422
1,margin_delta,5,19,1,4,10,9,0.21022701263427165,-2.5971817719308947,-0.6293830871582031,-2.029922485351584,2.8074087845651663,0.7157894736842105,ge,0.7157894736842105
1,log_margin_ratio,5,19,1,4,10,9,-0.00595182714546425,-1.081071530178974,-0.21143663814607364,-1.0074820389430816,1.0751197030335098,0.7052631578947369,ge,0.7052631578947369
