fold,n_slides,both_correct,high_correct_low_wrong,high_wrong_low_correct,both_wrong,prediction_disagreement_count,prediction_disagreement_rate,oracle_correct,oracle_accuracy,high_wrong_low_correct_rate,high_wrong_count,high_wrong_low_correct_conditional_rate
0,194,112,71,5,6,76,0.3917525773195876,188,0.9690721649484536,0.02577319587628866,11,0.45454545454545453
1,194,140,47,3,4,50,0.25773195876288657,190,0.979381443298969,0.015463917525773196,7,0.42857142857142855
