fold,alpha,auc,accuracy,macro_f1,is_best_auc,is_best_accuracy,is_best_macro_f1
0,0.0,0.8436316287878789,0.6030927835051546,0.6022367194780989,False,False,False
0,0.1,0.9057765151515151,0.711340206185567,0.7108485042052592,False,False,False
0,0.2,0.943063446969697,0.7680412371134021,0.7652910337410942,False,False,False
0,0.30000000000000004,0.9610558712121212,0.8195876288659794,0.8148602590320382,False,False,False
0,0.4,0.9667376893939394,0.8711340206185567,0.865109164233069,False,False,False
0,0.5,0.9692234848484849,0.9072164948453608,0.9011660817389335,False,False,False
0,0.6000000000000001,0.970407196969697,0.9175257731958762,0.9111416466277339,False,False,False
0,0.7000000000000001,0.9709990530303031,0.9278350515463918,0.9217741935483872,True,False,False
0,0.8,0.9708806818181819,0.9381443298969072,0.9325217391304348,False,False,False
0,0.9,0.9700520833333334,0.9381443298969072,0.9320728291316527,False,False,False
0,1.0,0.9698153409090909,0.9432989690721649,0.937077989090373,False,True,True
1,0.0,0.7433305911387942,0.7371134020618557,0.6964565117349286,False,False,False
1,0.1,0.8626160535903161,0.8298969072164949,0.7980887501182704,False,False,False
1,0.2,0.9261957926900928,0.8762886597938144,0.8524340770791075,False,False,False
1,0.30000000000000004,0.9561640615818544,0.8969072164948454,0.8793532338308458,False,False,False
1,0.4,0.9754377717710659,0.9123711340206185,0.8988188372449762,False,False,False
1,0.5,0.9821365612880479,0.9226804123711341,0.9114828897338403,False,False,False
1,0.6000000000000001,0.9870725114584558,0.9484536082474226,0.9421586165772213,False,False,False
1,0.7000000000000001,0.9886003055588201,0.9587628865979382,0.9540719696969697,False,False,False
1,0.8,0.9893054412974498,0.9639175257731959,0.95966376570529,False,True,True
1,0.9,0.9895404865436597,0.9639175257731959,0.95966376570529,True,True,True
1,1.0,0.9890703960512398,0.9639175257731959,0.95966376570529,False,True,True
