fold,alpha,auc,accuracy,macro_f1,is_best_auc,is_best_accuracy,is_best_macro_f1
0,0.0,0.8436316287878789,0.6030927835051546,0.6022367194780989,False,False,False
0,0.1,0.9057765151515151,0.711340206185567,0.7108485042052592,False,False,False
0,0.2,0.943063446969697,0.7680412371134021,0.7652910337410942,False,False,False
0,0.30000000000000004,0.9610558712121212,0.8195876288659794,0.8148602590320382,False,False,False
0,0.4,0.9667376893939394,0.8711340206185567,0.865109164233069,False,False,False
0,0.5,0.9692234848484849,0.9072164948453608,0.9011660817389335,False,False,False
0,0.6000000000000001,0.970407196969697,0.9175257731958762,0.9111416466277339,False,False,False
0,0.7000000000000001,0.9709990530303031,0.9278350515463918,0.9217741935483872,True,False,False
0,0.8,0.9708806818181819,0.9381443298969072,0.9325217391304348,False,False,False
0,0.9,0.9700520833333334,0.9381443298969072,0.9320728291316527,False,False,False
0,1.0,0.9698153409090909,0.9432989690721649,0.937077989090373,False,True,True
