slide_id,low_count,high_count,edges,low_with_child_count,low_child_count_mean,low_child_count_median,high_with_parent_count,unmapped_high_count,high_parent_coverage,low_child_coverage,padding_low_gt50_count,padding_high_gt50_count
2463647-B2,204,2934,5946,204,29.147058823529413,33.0,2894,40,0.9863667348329925,1.0,0,0
2463656-B2,157,2076,3959,157,25.21656050955414,26.0,2001,75,0.9638728323699421,1.0,0,0
2463720-B7,207,3024,4144,207,20.019323671497585,23.0,2935,89,0.970568783068783,1.0,0,0
2464404-B5,207,2935,4200,207,20.28985507246377,23.0,2835,100,0.9659284497444633,1.0,0,0
2464438-B5,98,1244,2142,98,21.857142857142858,24.0,1219,25,0.979903536977492,1.0,0,0
2464443-B,254,3687,7548,254,29.716535433070867,33.0,3640,47,0.9872525088147546,1.0,0,0
2464548-B,337,4999,8763,337,26.002967359050444,30.0,4916,83,0.9833966793358672,1.0,0,0
2464690-B2,244,3451,4837,244,19.82377049180328,23.0,3373,78,0.9773978556940017,1.0,0,0
2464812-B3,254,3682,5167,254,20.34251968503937,23.0,3579,103,0.9720260727865291,1.0,0,0
2464817-B,265,3919,8232,265,31.064150943396225,36.0,3858,61,0.9844348047971422,1.0,0,0
2464879-B2,268,3955,8025,268,29.94402985074627,34.0,3886,69,0.9825537294563843,1.0,0,0
2464929-B,291,4295,6116,291,21.017182130584192,24.0,4217,78,0.9818393480791618,1.0,0,0
2464943-B2,323,4501,9203,323,28.492260061919506,32.0,4449,52,0.988447011775161,1.0,0,0
2465202-B3,269,3876,7645,269,28.42007434944238,31.0,3780,96,0.9752321981424149,1.0,0,0
2465243-B2,348,5204,11037,348,31.71551724137931,36.0,5156,48,0.9907763259031515,1.0,0,0
2465263-B2,163,2322,3170,163,19.447852760736197,21.0,2243,79,0.9659776055124892,1.0,0,0
2465339-B2,427,6254,11074,427,25.934426229508198,30.0,6161,93,0.9851295171090502,1.0,0,0
2465367-B3,125,1600,2213,125,17.704,19.0,1540,60,0.9625,1.0,0,0
2465396-B2,165,2463,3070,165,18.606060606060606,20.0,2236,227,0.9078359723913926,1.0,0,9
2465397-B,157,2289,4597,157,29.280254777070063,31.0,2255,34,0.9851463521188292,1.0,0,0
2465568-B2,188,2648,4472,188,23.78723404255319,26.5,2560,88,0.9667673716012085,1.0,0,0
2465608-B2,259,3741,5938,259,22.92664092664093,24.0,3529,212,0.9433306602512697,1.0,0,0
2465625-B,172,2395,3849,172,22.377906976744185,24.0,2224,171,0.9286012526096034,1.0,0,0
2465636-B,230,3335,6826,230,29.678260869565218,34.0,3288,47,0.9859070464767616,1.0,0,0
2465639-B2,137,1782,3487,137,25.452554744525546,26.0,1748,34,0.9809203142536476,1.0,0,0
2465643-B3,251,3735,6470,251,25.776892430278885,30.0,3667,68,0.9817938420348059,1.0,0,0
2465661-B2,189,2618,5316,189,28.126984126984127,33.0,2566,52,0.9801375095492743,1.0,0,0
2465795-B4,293,4156,6969,293,23.784982935153582,27.0,3981,175,0.9578922040423484,1.0,0,14
2465827-B5,211,3054,6370,211,30.18957345971564,35.0,3018,36,0.9882121807465619,1.0,0,0
2465843-B2,269,3656,7244,269,26.929368029739777,28.0,3562,94,0.9742888402625821,1.0,0,0
2465989-B2,205,2922,4137,205,20.180487804878048,23.0,2869,53,0.9818617385352498,1.0,0,0
2466152-B2,155,2250,4620,155,29.806451612903224,34.0,2216,34,0.9848888888888889,1.0,0,0
