fold,alpha,auc,accuracy,macro_f1,diagnostic_only,is_best_auc,is_best_accuracy,is_best_macro_f1
1,0.0,0.9454695028793043,0.8917525773195877,0.8807202459376373,True,False,False,False
1,0.1,0.9643906451992008,0.9020618556701031,0.8913165266106442,True,False,False,False
1,0.2,0.9759078622634857,0.9226804123711341,0.9141972578505086,True,False,False,False
1,0.30000000000000004,0.9828416970266776,0.9381443298969072,0.9316018333529203,True,False,False,False
1,0.4,0.98883535080503,0.9536082474226805,0.9488801054018445,True,False,False,False
1,0.5,0.9900105770360794,0.9587628865979382,0.9544012222352802,True,False,False,False
1,0.6000000000000001,0.991185803267129,0.9639175257731959,0.9602400819792125,True,True,False,False
1,0.7000000000000001,0.9907157127747092,0.9587628865979382,0.9544012222352802,True,False,False,False
1,0.8,0.9905981901516042,0.9690721649484536,0.9655539772727273,True,False,True,True
1,0.9,0.9900105770360795,0.9690721649484536,0.9655539772727273,True,False,True,True
1,1.0,0.9890703960512398,0.9639175257731959,0.95966376570529,True,False,False,False
