metric,test_auc,test_f1,test_acc,val_auc
mean,0.9491444637661737,0.8920601025423316,0.8926124815919074,0.9539261367366206
std,0.01915627681541366,0.03481374830784559,0.03457393594731317,0.019440578965462033
