fold,summary,auc,accuracy,macro_f1,delta_auc,delta_accuracy,delta_macro_f1,mean_absolute_probability_change,changed_prediction_count
0,normal,0.9698153409090909,0.9432989690721649,0.937077989090373,0.0,0.0,0.0,0.0,0.0
0,shuffle_mean,0.9700047348484848,0.9432989690721649,0.937077989090373,0.0001893939393939448,0.0,0.0,0.000882489160973289,0.0
0,shuffle_std,5.7989813986345825e-05,0.0,0.0,5.7989813986345825e-05,0.0,0.0,3.467907689803136e-05,0.0
1,normal,0.9890703960512398,0.9639175257731959,0.95966376570529,0.0,0.0,0.0,0.0,0.0
1,shuffle_mean,0.988741332706546,0.9639175257731958,0.9597234488171134,-0.0003290633446938251,0.0,5.968311182340536e-05,0.003831353346497514,0.4
1,shuffle_std,0.00022788482112661465,0.0032600800620292457,0.0036316653077797254,0.00022788482112661465,0.0032600800620292457,0.0036316653077797254,0.0006232312895393163,0.48989794855663565
