fold,test_auc,test_acc,test_f1,val_auc,val_acc
1,0.9645669291338582,0.927461139896373,0.9194106418515867,0.9553209257933668,0.8808290155440415
2,0.9651634454784063,0.9378238341968912,0.9314143567874911,0.9008589835361489,0.8601036269430051
3,0.9719637318062515,0.917098445595855,0.9085524757166548,0.9586614173228347,0.927461139896373
4,0.9216774039608686,0.8808290155440415,0.8698736552047606,0.9525172989739918,0.8911917098445596
5,0.9502505368647102,0.8911917098445596,0.8826747720364742,0.9725602481507993,0.927461139896373
