,folds,test_auc,test_acc,test_f1
0,0,0.9645669291338582,0.927461139896373,0.9194106418515867
1,1,0.9651634454784063,0.9378238341968912,0.9314143567874911
2,2,0.9719637318062515,0.917098445595855,0.9085524757166548
3,3,0.9216774039608686,0.8808290155440415,0.8698736552047606
4,4,0.9502505368647102,0.8911917098445596,0.8826747720364742
