slide_id,level,width_px,height_px,openslide_downsample,downsample_x_from_dimensions,downsample_y_from_dimensions,effective_magnification,effective_magnification_x,effective_magnification_y,effective_mpp_x,effective_mpp_y
2460239-B2,0,150455,87803,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2460239-B2,1,37613,21950,4.000108216958623,4.000079759657565,4.000136674259681,9.999729464922565,9.99980060483201,9.999658326025306,1.0567650713848933,1.0567801074259682
2460239-B2,2,9403,5487,16.00137459086777,16.00074444326279,16.002004738472753,2.499785238627475,2.4998836861520055,2.4996867988565312,4.227172671487823,4.227505623838162
2460239-B2,3,2350,1371,64.03321926843273,64.02340425531915,64.04303428154631,0.624675761378115,0.624771526370011,0.6245800257394395,16.914087076595745,16.919273054704593
2460242-B2,0,182383,87803,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2460242-B2,1,45595,21950,4.000101235473958,4.000065796688233,4.000136674259681,9.999746917720332,9.999835510985125,9.999658326025306,1.0567613825638773,1.0567801074259682
2460242-B2,2,11398,5487,16.0016603794136,16.001316020354448,16.002004738472753,2.4997405926362903,2.499794388731406,2.4996867988565312,4.22732367415336,4.227505623838162
2460242-B2,3,2849,1371,64.02976564902167,64.01649701649701,64.04303428154631,0.6247094549628602,0.6248389378396013,0.6245800257394395,16.912262280800277,16.919273054704593
2460399-B2,0,143226,87803,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2460399-B2,1,35806,21950,4.000096265410017,4.000055856560353,4.000136674259681,9.999759342266712,9.999860360549063,9.999658326025306,1.0567587565212533,1.0567801074259682
2460399-B2,2,8951,5487,16.001560966041204,16.00111719360965,16.002004738472753,2.499756122848809,2.499825450686328,2.4996867988565312,4.227271146910959,4.227505623838162
2460399-B2,3,2237,1371,64.03448093156439,64.02592758158248,64.04303428154631,0.6246634534720321,0.6247469034951755,0.6245800257394395,16.914753704067948,16.919273054704593
2460404-B3,0,166720,87803,1.0,1.0,1.0,40.0,40.0,40.0,0.264186,0.264186
2460404-B3,1,41680,21950,4.000068337129841,4.0,4.000136674259681,9.999829160094075,10.0,9.999658326025306,1.056744,1.0567801074259682
2460404-B3,2,10420,5487,16.001002369236375,16.0,16.002004738472753,2.4998433896181558,2.5,2.4996867988565312,4.226976,4.227505623838162
