slide_id,issue_type,severity,scale,observed,expected_or_reference,details
2489131-B3,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25012919B9,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25014217B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25015408B3,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25015495B3,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25016905B4,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25017341B4,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25019773B3,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25021575B4,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25022038B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25022278B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25025262B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25017073B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
2490964B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
2490978B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25002328B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25002496B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25002898B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25015064B,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
2460943-B3,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
2462609-B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
2462939-B,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
2485164-B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
2487518-B,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
2487567-B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25013062B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25014298B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25015784B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25015798B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25017499B,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25017500B,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25017923B,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25018956B3,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25019294B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25019503B,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25021555B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25021558B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25022584B3,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25023327B3,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25023687B3,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25023935B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25024695B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25024875B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25025569B,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25025954B3,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25002379B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25028868B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25029560B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25032143B3,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25032146B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25032245B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25033894B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25034940B8,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25036333B3,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25045403B,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25045450B2,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25045807B4,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
25047088B,pyramid_level_count_outlier,warning,,3,4,Level count differs from the dataset mode.
