slide_id,low_scale,high_scale,coverage_calculable,low_bbox_x_min,low_bbox_y_min,low_bbox_x_max,low_bbox_y_max,high_bbox_x_min,high_bbox_y_min,high_bbox_x_max,high_bbox_y_max,bbox_iou,low_bbox_fraction_of_wsi,high_bbox_fraction_of_wsi,high_low_bbox_area_ratio,normalized_bbox_center_distance,low_coordinate_count,high_coordinate_count,high_low_coordinate_count_ratio
2460239-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,17328.0,2848.0,153206.19057747527,82568.51321304902,17328.0,2848.0,151158.02041847233,80520.03498861048,0.9596180032566045,0.8199811351665124,0.7868686596365725,0.9596180032566043,0.00831442925883079,187,2592,13.86096256684492
2460242-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,18401.0,4240.0,177437.33690121074,87952.51321304902,18401.0,1568.0,177437.01684395218,85232.03498861048,0.9375740398717576,0.8313674838783645,0.8308843637687248,0.9994188850069213,0.013320174617016001,426,6128,14.384976525821596
2460399-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,8112.0,7232.0,136741.28600156406,77456.51321304902,8112.0,7232.0,135717.01429927946,77456.03498861048,0.9920302699631789,0.7182859612640349,0.712561416063522,0.9920302699631789,0.0030484791130820682,285,4103,14.396491228070175
2460404-B3,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,13616.0,0.0,168624.0,84672.51321304902,13616.0,0.0,166928.0,83648.03498861048,0.9770917111627517,0.8966015943605246,0.8760619860649763,0.9770917111627517,0.005257742128631412,308,4243,13.775974025974026
2460405-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,8048.0,4880.0,144925.3921654448,77846.39490937139,8048.0,4880.0,144925.01400475943,75798.0,0.9719241872645096,0.8230003272152627,0.7998939241471198,0.9719241872645098,0.006091247208990284,128,1742,13.609375
2460591-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,14848.0,1152.0,178802.0662811772,79400.51321304902,14848.0,1152.0,180850.0165702943,80424.03498861048,0.9749108766585974,0.7881173972300619,0.808399430244588,1.025734786575972,0.005580391028389443,253,3248,12.837944664031621
2460602-B,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,12704.0,9393.0,144469.23804111994,83121.71181727905,12704.0,9393.0,153848.00661191178,81073.02541825945,0.9092902410679911,0.7785147794733072,0.8107555996155497,1.0414132409458616,0.02749448480407916,252,3707,14.71031746031746
2460615-B4,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,16208.0,192.0,134404.1442091032,72770.15026413617,16208.0,192.0,133412.00721025208,69698.03756603405,0.9496329746640023,0.7386094210205766,0.7014078615986266,0.9496329746640023,0.009849518307032385,157,2071,13.19108280254777
2460628-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,8736.0,6832.0,131715.10948358817,69377.52816174953,8736.0,6832.0,131715.0,70401.02640536359,0.9838985574127888,0.6626681289530144,0.6735114647372455,1.0163631466649272,0.003036053202817129,190,2668,14.042105263157895
2460641-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7760.0,17282.0,128710.3597060095,83026.51321304902,7760.0,17282.0,128571.00691686255,83842.03498861048,0.9866234717012646,0.6117353523330817,0.6186100145346766,1.0112379678162717,0.0024033309294513435,242,3511,14.508264462809917
2460643-B,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7888.0,6177.0,114257.09930178433,75809.71181727905,7888.0,6177.0,114257.02482544609,74785.02541825945,0.9852837206898363,0.7428466811566555,0.731914741912126,0.9852837206898363,0.0034695891990398687,182,2656,14.593406593406593
2460753-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,8977.0,5664.0,137422.4565450006,77424.0,10001.0,5664.0,135294.02282521472,81264.0,0.9270657062890698,0.8057626044243653,0.8280462863051322,1.0276553934848915,0.012550763636684826,201,2859,14.223880597014926
2460770-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,17505.0,0.0,140024.27081349835,67431.51321304902,17505.0,0.0,136952.01353995875,70471.03498861048,0.9338843872011025,0.6220704913108549,0.6338087597470187,1.0188696757041609,0.012355230737245345,181,2521,13.92817679558011
2460943-B3,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7936.0,6513.0,107689.50083845724,47473.94304335506,7936.0,6513.0,107689.01788521327,48497.01813159572,0.9756271883360311,0.6318050006072148,0.6475823603401465,1.0249718817004747,0.004006402383460215,98,1349,13.76530612244898
2460949-B3,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,9664.0,11057.0,131385.30710172743,81417.51321304902,9664.0,7440.0,132409.01535416543,81417.03498861048,0.9431680591910755,0.7312670448147843,0.7753203468308788,1.0602424276171947,0.011771295565738022,200,2813,14.065
2460960-B,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,8304.0,7072.0,145750.33293594886,86712.51321304902,8304.0,7072.0,147798.0,84664.03498861048,0.9603393634062445,0.8443879944030421,0.8349250908268067,0.9887931808138444,0.008430621953957287,343,4901,14.28862973760933
2460974-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,8032.0,6465.0,133168.0,72001.71181727905,8032.0,6465.0,133552.0,71445.02541825945,0.9884981321873549,0.7228030697760547,0.7188625839324546,0.994548327188454,0.0020842186635430192,234,3353,14.32905982905983
2461002-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,8960.0,6560.0,116417.09930178433,51904.48695652174,8960.0,6560.0,117441.02482544609,50880.05217036886,0.9683887247913158,0.6686602350862659,0.6597811953645312,0.9867211488648054,0.0052844772164708405,135,1733,12.837037037037037
2461487-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7648.0,6608.0,168979.09429965928,53680.0,7648.0,6608.0,172051.0,53680.0,0.9813147831831492,0.8205917354650928,0.8362166243978212,1.0190410020689187,0.008451887380700832,232,3195,13.77155172413793
2461671-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7776.0,6736.0,137779.20132569375,77665.44214162348,7776.0,6736.0,135731.0215700042,76368.01228053344,0.9662415061354304,0.776448273260481,0.7502365489914613,0.9662415061354303,0.007345403944764805,328,4887,14.899390243902438
2461672-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,10064.0,9584.0,168791.29307384088,65668.33787945447,10064.0,9584.0,167767.0,66692.02815507287,0.9758498904027352,0.7296469277136702,0.7381704762208414,1.0116817438454506,0.003960594952433265,212,2880,13.584905660377359
2461677-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,54498.0,6497.0,139494.22316661218,42679.76684972541,54498.0,6497.0,140518.0,40646.0,0.9331834608253113,0.32669673771796426,0.3120475841834393,0.9551597801776291,0.007105388698829506,60,812,13.533333333333333
2461698-B,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,9152.0,3120.0,151640.234694917,76848.09800918837,9152.0,3120.0,153288.00651897123,79777.02450229709,0.9507965416550838,0.8001194658892328,0.8415254271922759,1.0517497237203517,0.009443361221111085,239,3447,14.422594142259415
2461700-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,9264.0,6769.0,103719.41079504012,49666.94304335506,9264.0,6769.0,102695.02800670994,47618.01813159572,0.9419100700436338,0.6540646750994231,0.6160701039359642,0.9419100700436338,0.009283500478511638,74,996,13.45945945945946
2461703-B3,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,8016.0,6256.0,150392.24085302113,80305.51321304902,8016.0,6256.0,149368.00669001203,80305.03498861048,0.9927997323687209,0.7844666394211721,0.7788182696695295,0.9927997323687209,0.002902165209982806,253,3694,14.600790513833992
2461718-B3,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,13584.0,6592.0,120497.06432160804,76550.58391940696,13584.0,6592.0,120465.01608040201,74502.0,0.9704262080068632,0.6975602501541449,0.6769307484134058,0.9704262080068633,0.006709928465918557,82,1067,13.012195121951219
2461755-B3,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,35554.0,6288.0,155769.2542709575,80257.51321304902,35554.0,6288.0,156793.01271291653,81281.03498861048,0.9780228891847048,0.6286556692123878,0.6427821640620754,1.0224709575392616,0.003945143252272136,247,3325,13.461538461538462
2461836-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,9552.0,1296.0,127545.32678069951,74257.11451576829,9552.0,1296.0,125977.01633799222,72209.02862894208,0.9590106632457647,0.9600059272909716,0.92065592105118,0.9590106632457647,0.008936374785510737,144,1998,13.875
2461857-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7920.0,5632.0,131458.1484057971,73143.51321304902,7920.0,5632.0,130434.00742007478,72119.03498861048,0.9766608551782815,0.6882952207145592,0.6722309988782054,0.9766608551782814,0.004428083791287179,159,2091,13.150943396226415
2461861-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,8288.0,6737.0,75922.15026413617,49682.64142538975,8288.0,6737.0,74898.03756603405,49682.01781489213,0.9848437522531045,0.6179011749732916,0.6085361116822985,0.9848437522531045,0.005122647167569492,62,890,14.35483870967742
2462123-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,10561.0,6753.0,103640.51904417088,62050.80308880309,10561.0,6753.0,103640.01853527858,62050.01544122082,0.9999803791173514,0.7024225425760278,0.7024087604257502,0.9999803791173514,3.620843412018436e-06,122,1715,14.057377049180328
2462170-B4,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,8080.0,8273.0,127637.27722295752,61521.757224118315,8080.0,8273.0,126613.00770017445,63259.01455951772,0.9603689076479301,0.6806497544933257,0.6968346652827294,1.0237786184194715,0.006702831632948797,117,1562,13.350427350427351
2462290-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7744.0,5296.0,125384.45654500059,71569.7491638796,7744.0,5296.0,128456.02282521474,68497.02675165892,0.9304679757982792,0.7566440854977772,0.7404028164734072,0.9785351272339818,0.014029412609887586,286,4236,14.811188811188812
2462293-B3,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7856.0,6528.0,90000.04127035306,74192.29761674094,7856.0,6528.0,90736.01031758827,74192.02480019376,0.9911161050653426,0.6781474093321155,0.684220508267898,1.0089554259917675,0.0028500981774219054,127,1781,14.023622047244094
2462468-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,22930.0,6816.0,152265.38285144567,79504.05033425089,7904.0,6816.0,153289.019141141,77456.01258356273,0.867238182666428,0.7198088645402336,0.7863343423473459,1.0924210315881624,0.03932091504113594,197,2686,13.634517766497462
2462478-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,19184.0,208.0,159143.2091503268,69888.0,10192.0,208.0,157111.0,69888.0,0.9259877834277881,0.7862241602294616,0.8253209495681305,1.0497272804835434,0.031399876809949934,152,2029,13.348684210526315
2462483-B,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,8304.0,6672.0,125703.2810441571,70865.15802469137,8304.0,6672.0,124679.00780630604,71889.03950617283,0.9758463416698883,0.7387942006796411,0.744029409274812,1.0070861528018966,0.004748586680268166,85,1108,13.035294117647059
2462598-B,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7936.0,10880.0,129808.0,83346.51321304902,7936.0,6784.0,131808.0,82322.03498861048,0.9182528002783432,0.735268315165395,0.7790106239050996,1.0594916275290127,0.016908930359150635,195,2744,14.071794871794872
2462609-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,11537.0,15824.0,115754.50143640637,51921.20518300828,11537.0,15824.0,114730.0250693651,50897.05129575207,0.9620766166638692,0.5125829571963454,0.49314407721902087,0.9620766166638692,0.005310295779217188,61,821,13.459016393442623
2462614-B3,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7920.0,10961.0,130068.24311490978,70546.71181727905,7920.0,208.0,135495.0,72955.02541825945,0.7842391874433314,0.670147366317214,0.8545191021401725,1.2751211824291289,0.031693107746489334,225,3283,14.591111111111111
2462637-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7808.0,7104.0,136533.28600156406,75361.53781512605,7808.0,7104.0,135509.01429927946,76385.03666571183,0.9775022748081564,0.7321768274756976,0.7372422575916276,1.0069183152564305,0.004363169487454477,277,3864,13.949458483754512
2462830-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,9600.0,8977.0,153113.27223511215,64579.513213049024,9600.0,8977.0,153113.01856058775,77849.03498861048,0.8073296204356328,0.549085247637469,0.6801230620159385,1.238647486783303,0.03541142246794989,103,1417,13.757281553398059
2462830-B4,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7920.0,6688.0,129329.08930232558,74992.39490937139,7920.0,6688.0,130353.02232558139,76016.0,0.9769955997664143,0.7262356808579906,0.7433356721684554,1.0235460632976094,0.004505065065113132,210,3080,14.666666666666666
2462840-B5,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,12336.0,2192.0,153361.05078861225,75033.58391940696,12336.0,2192.0,154385.01269715306,71961.0,0.9512030575596858,0.7564782934921103,0.7298297172083683,0.964772847399593,0.00890016467166752,286,4219,14.751748251748252
2462885-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,14400.0,6416.0,162182.17644742024,83160.51321304902,10144.0,6416.0,159110.0189046154,83076.03498861048,0.9507821247718599,0.7948746672143474,0.8003602049175198,1.0069011353983597,0.019838591607411346,272,3661,13.459558823529411
2462920-B3,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7808.0,10944.0,130370.1243322001,72673.37356681259,7808.0,80.0,129346.0,72673.04002292981,0.844290263989777,0.7479444401195399,0.872224452921604,1.1661620919091278,0.03577739741165402,273,3827,14.018315018315018
2462921-B,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7824.0,224.0,130854.20990980438,74720.29761674094,7824.0,224.0,128869.02248967759,74720.02480019376,0.9838606249107493,0.8124816061653063,0.7993686607702877,0.9838606249107495,0.006218415065561939,311,4466,14.360128617363344
2462939-B,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,8048.0,7106.0,108624.03621445749,44051.16257947321,8048.0,7106.0,106576.00905361437,43026.05811577752,0.9524553816297984,0.6214675942591642,0.5919201546606648,0.9524553816297983,0.009172098347556671,99,1451,14.656565656565656
2462987-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,46320.0,7984.0,160496.0,59984.170818505336,0.0,7984.0,160496.0,71921.04270462634,0.5785792262619989,0.4950254145538131,0.855587950766919,1.7283717676153976,0.1317153491933946,139,2010,14.46043165467626
2463126-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7696.0,6641.0,104129.11001289214,62305.81085972851,7696.0,6641.0,105153.02750322303,60257.02895436295,0.9534433428619046,0.6794060467465021,0.6613483934548303,0.9734214121611883,0.008661843190246689,144,2101,14.590277777777779
2463127-B3,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7696.0,3056.0,106386.14384042703,79344.51321304902,7696.0,3056.0,107410.0,79344.03498861048,0.9897259315712548,0.7527822175856586,0.7605871526949953,1.010368118330915,0.003559488079703184,261,3791,14.524904214559387
2463135-B,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,7648.0,3552.0,114769.10110584518,81664.51321304902,7648.0,3552.0,114769.0252764613,81664.03498861048,0.9999931698683389,0.7840985048119076,0.7840931493158845,0.999993169868339,1.6146752693987977e-06,307,4547,14.811074918566776
2463187-B2,nominal 5x (actual ~2.5x),nominal 20x (actual ~10x),True,12113.0,6561.0,101417.53862338443,52785.84349258649,12113.0,6561.0,100393.01923438146,49713.0,0.9228144103852379,0.6651808624749427,0.6138384854043583,0.922814410385238,0.013342286964599308,110,1511,13.736363636363636
