fold,slide_id,valid_low_parent_count,pair_sample_count,pair_sampling_seed,within_slide_cosine_mean,within_slide_cosine_std,within_slide_cosine_min,within_slide_cosine_max,low_feature_variance,low_feature_dispersion
1,2460602-B,252,1024,337,0.8277560472488403,0.08106334507465363,0.5520667433738708,0.9832487106323242,2.2926018238067627,1173.8121337890625
1,2460949-B3,200,1024,338,0.7610970735549927,0.10274339467287064,0.3972790241241455,0.9606707096099854,2.96083927154541,1515.9498291015625
1,2461002-B2,135,1024,339,0.8081744313240051,0.07723182439804077,0.5612310767173767,0.9598783254623413,2.3755133152008057,1216.262939453125
1,2461698-B,239,1024,340,0.7864887118339539,0.11592358350753784,0.3206500709056854,0.9682132601737976,2.641353130340576,1352.3729248046875
1,2461857-B2,159,1024,341,0.8327825665473938,0.07544595003128052,0.5548850297927856,0.9834035634994507,2.0398378372192383,1044.39697265625
1,2462123-B2,122,1024,342,0.8345411419868469,0.06552742421627045,0.6004630923271179,0.9626237750053406,2.0705692768096924,1060.1314697265625
1,2462170-B4,117,1024,343,0.7552193403244019,0.09381332248449326,0.33125004172325134,0.9581263065338135,2.9695982933044434,1520.434326171875
1,2462614-B3,225,1024,344,0.7984024286270142,0.08559563010931015,0.45937198400497437,0.979211151599884,2.4152414798736572,1236.603515625
1,2463126-B2,144,1024,345,0.8125572204589844,0.07108969986438751,0.6426337957382202,0.9544771313667297,2.3348865509033203,1195.4617919921875
1,2463351-B4,175,1024,346,0.7789748311042786,0.11317770928144455,0.3146608769893646,0.9730358123779297,2.7287423610687256,1397.1162109375
1,2464404-B5,207,1024,347,0.7891601920127869,0.080400250852108,0.5022363662719727,0.965198814868927,2.5888137817382812,1325.47265625
1,2464879-B2,268,1024,348,0.8003594279289246,0.08786147832870483,0.4941157102584839,0.9740763902664185,2.474907159805298,1267.1524658203125
1,2464943-B2,323,1024,349,0.7774254083633423,0.0950479581952095,0.3288564682006836,0.9635871648788452,2.6929426193237305,1378.78662109375
1,2465339-B2,427,1024,350,0.7948057055473328,0.09028545022010803,0.40508460998535156,0.9777181148529053,2.6253325939178467,1344.17041015625
1,2465643-B3,251,1024,351,0.764092206954956,0.1141352504491806,0.17293842136859894,0.9544953107833862,2.9510974884033203,1510.9619140625
1,2465827-B5,211,1024,352,0.7248061299324036,0.1069989949464798,0.2940365672111511,0.9674797058105469,3.2477636337280273,1662.8551025390625
1,2466159-B2,234,1024,353,0.7781244516372681,0.08063019812107086,0.5604477524757385,0.9551758766174316,2.639893054962158,1351.6253662109375
1,2466285-B,154,1024,354,0.8159744739532471,0.08235619962215424,0.5405181050300598,0.9651675820350647,2.218262195587158,1135.750244140625
1,2466581-B2,175,1024,355,0.8426984548568726,0.06536728143692017,0.5868909955024719,0.9569281935691833,1.9789104461669922,1013.2022094726562
1,2466584-B,206,1024,356,0.8038026690483093,0.07709258794784546,0.5552780628204346,0.9714798331260681,2.4577901363372803,1258.388671875
1,2466703-B4,73,1024,357,0.868046224117279,0.05666155740618706,0.6494060754776001,0.9712051749229431,1.6264857053756714,832.7606811523438
1,2466718-B,317,1024,358,0.781038224697113,0.10073502361774445,0.32632675766944885,0.9621981978416443,2.7422842979431152,1404.0494384765625
1,2466893-B2,192,1024,359,0.7774239182472229,0.12410996109247208,0.244045689702034,0.9600901007652283,2.7450244426727295,1405.4525146484375
1,2466898-B2,276,1024,360,0.7314193248748779,0.1172320693731308,0.2803339660167694,0.9489812850952148,3.3626208305358887,1721.661865234375
1,2468417-B2,184,1024,361,0.8351911306381226,0.08232636004686356,0.35651764273643494,0.9791260361671448,2.1218667030334473,1086.395751953125
1,2468419-B2,316,1024,362,0.8188745379447937,0.11097149550914764,0.23701463639736176,0.9676329493522644,2.2148234844207764,1133.989501953125
