fold,mode,auc,accuracy,macro_f1
0,low,0.8699100378787878,0.8195876288659794,0.7898288296653976
0,high,0.9584517045454546,0.9278350515463918,0.9207516339869282
0,dual,0.96875,0.9329896907216495,0.9245158780042502
1,low,0.9193794805500058,0.7989690721649485,0.7281839410813724
1,high,0.9603948760136327,0.9329896907216495,0.9261601522471088
1,dual,0.9720296157010224,0.9587628865979382,0.9544012222352802
