fold,alpha,auc,accuracy,macro_f1,is_best_auc,is_best_accuracy,is_best_macro_f1
0,0.0,0.8699100378787878,0.8195876288659794,0.7898288296653976,False,False,False
0,0.1,0.9447206439393939,0.8814432989690721,0.8642737642585552,False,False,False
0,0.2,0.9635416666666666,0.9020618556701031,0.8887983829607506,False,False,False
0,0.30000000000000004,0.96875,0.9072164948453608,0.8958855098389982,False,False,False
0,0.4,0.9698153409090909,0.9278350515463918,0.9190220632081098,True,False,False
0,0.5,0.96875,0.9329896907216495,0.9245158780042502,False,True,False
0,0.6000000000000001,0.9662642045454546,0.9329896907216495,0.9256376234704408,False,True,True
0,0.7000000000000001,0.9641335227272727,0.9329896907216495,0.9256376234704408,False,True,True
0,0.8,0.962121212121212,0.9278350515463918,0.9202021389117405,False,False,False
0,0.9,0.9595170454545454,0.9278350515463918,0.9202021389117405,False,False,False
0,1.0,0.9584517045454546,0.9278350515463918,0.9207516339869282,False,False,False
1,0.0,0.9193794805500058,0.7989690721649485,0.7281839410813724,False,False,False
1,0.1,0.9784933599717947,0.9020618556701031,0.8825927695492912,False,False,False
1,0.2,0.9811963803032083,0.9484536082474226,0.9407380254154447,True,False,False
1,0.30000000000000004,0.9781407921024797,0.9587628865979382,0.9533653846153847,False,False,False
1,0.4,0.9741450229169115,0.9639175257731959,0.9599587203302373,False,True,True
1,0.5,0.9720296157010224,0.9587628865979382,0.9544012222352802,False,False,False
1,0.6000000000000001,0.9688565048771888,0.9587628865979382,0.9547152194211017,False,False,False
1,0.7000000000000001,0.9668586202844048,0.9536082474226805,0.9488801054018445,False,False,False
1,0.8,0.9647432130685157,0.9484536082474226,0.9430015277941004,False,False,False
1,0.9,0.9628628510988366,0.9381443298969072,0.9320728291316527,False,False,False
1,1.0,0.9603948760136327,0.9329896907216495,0.9261601522471088,False,False,False
