,folds,test_auc,test_acc,test_f1
0,0,0.9820075757575758,0.9381443298969072,0.9329493087557603
1,1,0.958688446969697,0.9123711340206185,0.9053033565911506
2,2,0.9737924550475966,0.9639175257731959,0.95966376570529
3,3,0.9558577905034598,0.9067357512953368,0.8971215351812367
4,4,0.9581245526127415,0.9326424870466321,0.9269216205982582
