fold,e1_source,stop_epoch,runtime_seconds,routing_diagnostics_finite,routing_nonzero_gradient,e1_test_auc,e0_test_auc,e1_minus_e0_test_auc,dual_test_auc,e1_test_acc,e0_test_acc,e1_minus_e0_test_acc,dual_test_acc,e1_test_f1,e0_test_f1,e1_minus_e0_test_f1,dual_test_f1,e1_val_auc,e0_val_auc,e1_minus_e0_val_auc,dual_val_auc,e1_val_acc,e0_val_acc,e1_minus_e0_val_acc,dual_val_acc
0,pilot,13,824.09,True,True,0.9868607954545454,0.9820075757575758,0.004853219696969613,0.9846117424242424,0.9484536082474226,0.9381443298969072,0.010309278350515427,0.9226804123711341,0.943768115942029,0.9329493087557603,0.010818807186268709,0.9153749963649054,0.9733664772727273,0.9725378787878788,0.0008285984848485084,0.9649621212121213,0.9329896907216495,0.9381443298969072,-0.005154639175257714,0.9278350515463918
1,multifold,27,1613.99,True,True,0.9354876893939394,0.958688446969697,-0.02320075757575757,0.9534801136363635,0.9020618556701031,0.9123711340206185,-0.010309278350515427,0.9072164948453608,0.8913165266106442,0.9053033565911506,-0.013986829980506377,0.8958855098389982,0.9869549888353507,0.9890703960512399,-0.002115407215889209,0.9821365612880479,0.9587628865979382,0.9639175257731959,-0.005154639175257714,0.9639175257731959
2,multifold,14,791.95,True,True,0.9746151134093313,0.9737924550475966,0.0008226583617346739,0.9808438124338935,0.9536082474226804,0.9639175257731959,-0.010309278350515538,0.9587628865979382,0.94774176169525,0.95966376570529,-0.011922004010039955,0.953726893261777,0.9624194702934861,0.9723216416129802,-0.009902171319494113,0.961584347411119,0.9326424870466321,0.9378238341968912,-0.005181347150259086,0.9378238341968912
3,multifold,16,894.15,True,True,0.9615843474111191,0.9558577905034598,0.00572655690765933,0.9737532808398951,0.9067357512953368,0.9067357512953368,0.0,0.9430051813471503,0.8956129807692308,0.8971215351812367,-0.0015085544120059247,0.9359635628751546,0.9576473395371033,0.9537699832975424,0.0038773562395609806,0.9729181579575281,0.9378238341968912,0.927461139896373,0.010362694300518172,0.9378238341968912
4,multifold,13,728.4,True,True,0.9529945120496301,0.9581245526127415,-0.005130040563111393,0.9634931997136722,0.9378238341968912,0.9326424870466321,0.005181347150259086,0.9119170984455959,0.9314143567874911,0.9269216205982582,0.004492736189232849,0.9002523333231995,0.9796401515151515,0.9777462121212122,0.0018939393939393367,0.9790482954545454,0.9329896907216495,0.9329896907216495,0.0,0.9381443298969072
