fold,test_auc,test_acc,test_f1,val_auc,val_acc
1,0.9384469696969697,0.9020618556701031,0.8896770524677502,0.9209280303030303,0.8556701030927836
2,0.8828125,0.8092783505154639,0.7973861743867672,0.9454695028793043,0.8917525773195876
3,0.9591021271594782,0.8865979381443299,0.8736979166666667,0.9253161536626104,0.8549222797927462
4,0.9078978764018135,0.8290155440414508,0.7995467850061373,0.9286566451920782,0.8963730569948186
5,0.9214984490575042,0.8549222797927462,0.8322155986090412,0.9405776515151515,0.8505154639175257
