slide_id,scale,patch_count,padding_bucket,count,fraction
2485969-B2,20x,5798,25-50%,14,0.002414625733011383
2486100-B,5x,280,<=5%,280,1.0
2486100-B,20x,4110,<=5%,4110,1.0
2486104-B1,5x,111,<=5%,111,1.0
2486104-B1,20x,1420,<=5%,1420,1.0
2486104-B2,5x,111,<=5%,111,1.0
2486104-B2,20x,1527,<=5%,1527,1.0
2486165-B2,5x,247,<=5%,247,1.0
2486165-B2,20x,3554,<=5%,3554,1.0
2486191-B,5x,252,<=5%,252,1.0
2486191-B,20x,3667,<=5%,3667,1.0
2486197-B2,5x,256,<=5%,256,1.0
2486197-B2,20x,3655,<=5%,3655,1.0
2486262-B4,5x,141,<=5%,141,1.0
2486262-B4,20x,2018,<=5%,2018,1.0
2486653-B2,5x,244,<=5%,244,1.0
2486653-B2,20x,3569,<=5%,3569,1.0
2486653-B3,5x,318,<=5%,318,1.0
2486653-B3,20x,4719,<=5%,4719,1.0
2486687-B3,5x,211,<=5%,211,1.0
2486687-B3,20x,3060,<=5%,3060,1.0
2486812-B2,5x,294,<=5%,294,1.0
2486812-B2,20x,4161,<=5%,4161,1.0
2486813-B2,5x,108,<=5%,108,1.0
2486813-B2,20x,1446,<=5%,1446,1.0
2486833-B2,5x,154,<=5%,154,1.0
2486833-B2,20x,2205,<=5%,2205,1.0
2486845-B2,5x,154,<=5%,154,1.0
2486845-B2,20x,2100,<=5%,2100,1.0
2486859-B2,5x,60,<=5%,60,1.0
2486859-B2,20x,944,<=5%,944,1.0
2487140-B2,5x,140,<=5%,140,1.0
2487140-B2,20x,1907,<=5%,1907,1.0
2487143-B,5x,204,<=5%,204,1.0
2487143-B,20x,2900,<=5%,2900,1.0
2487146-B2,5x,156,<=5%,156,1.0
2487146-B2,20x,2196,<=5%,2196,1.0
2487237-B2,5x,191,<=5%,191,1.0
2487237-B2,20x,2685,<=5%,2685,1.0
2487246-B2,5x,90,<=5%,90,1.0
2487246-B2,20x,1227,<=5%,1227,1.0
2487274-B2,5x,197,<=5%,197,1.0
2487274-B2,20x,2764,<=5%,2764,1.0
2487376-B2,5x,344,<=5%,344,1.0
2487376-B2,20x,5115,<=5%,5115,1.0
2487388-B2,5x,239,<=5%,239,1.0
2487388-B2,20x,3526,<=5%,3526,1.0
2487558-B2,5x,137,<=5%,137,1.0
2487558-B2,20x,1895,<=5%,1895,1.0
2487651-B,5x,160,<=5%,160,1.0
2487651-B,20x,2295,<=5%,2295,1.0
2487656-B4,5x,196,<=5%,196,1.0
2487656-B4,20x,2661,<=5%,2661,1.0
2487664-B2,5x,126,<=5%,126,1.0
2487664-B2,20x,1748,<=5%,1748,1.0
2487896-B2,5x,198,<=5%,195,0.9848484848484849
2487896-B2,5x,198,>50%,1,0.005050505050505051
2487896-B2,5x,198,25-50%,2,0.010101010101010102
2487896-B2,20x,2495,<=5%,2495,1.0
2487935-B2,5x,236,<=5%,236,1.0
2487935-B2,20x,3434,<=5%,3417,0.995049504950495
2487935-B2,20x,3434,>50%,9,0.0026208503203261502
2487935-B2,20x,3434,10-25%,8,0.0023296447291788003
2487941-B2,5x,126,<=5%,126,1.0
2487941-B2,20x,1654,<=5%,1654,1.0
2488039-B2,5x,232,<=5%,232,1.0
2488039-B2,20x,3196,<=5%,3196,1.0
2488044-B2,5x,298,<=5%,298,1.0
2488044-B2,20x,4181,<=5%,4181,1.0
2488044-B3,5x,283,<=5%,283,1.0
2488044-B3,20x,3998,<=5%,3998,1.0
2488050-B3,5x,243,<=5%,243,1.0
2488050-B3,20x,3528,<=5%,3528,1.0
2488065-B3,5x,162,<=5%,162,1.0
2488065-B3,20x,2276,<=5%,2276,1.0
2488320-B3,5x,121,<=5%,121,1.0
2488320-B3,20x,1703,<=5%,1700,0.9982384028185555
2488320-B3,20x,1703,25-50%,3,0.0017615971814445098
2488330-B2,5x,277,<=5%,277,1.0
2488330-B2,20x,4011,<=5%,4011,1.0
2488344-B2,5x,143,<=5%,143,1.0
2488344-B2,20x,2098,<=5%,2098,1.0
2488369-B2,5x,367,<=5%,367,1.0
2488369-B2,20x,5365,<=5%,5365,1.0
2488475-B2,5x,138,<=5%,138,1.0
2488475-B2,20x,1880,<=5%,1880,1.0
2488477-B2,5x,159,<=5%,159,1.0
2488477-B2,20x,2259,<=5%,2259,1.0
2488767-B,5x,478,<=5%,478,1.0
