slide_id,scale,patch_count,padding_bucket,count,fraction
25021894B2,20x,3640,<=5%,3640,1.0
25021894B3,5x,195,<=5%,195,1.0
25021894B3,20x,2791,<=5%,2785,0.9978502328914367
25021894B3,20x,2791,10-25%,6,0.002149767108563239
25021901B2,5x,318,<=5%,318,1.0
25021901B2,20x,4812,<=5%,4812,1.0
25021911B2,5x,299,<=5%,297,0.9933110367892977
25021911B2,5x,299,5-10%,2,0.006688963210702341
25021911B2,20x,4120,<=5%,4119,0.999757281553398
25021911B2,20x,4120,25-50%,1,0.00024271844660194174
25021918B4,5x,288,<=5%,288,1.0
25021918B4,20x,4212,<=5%,4212,1.0
25021973B2,5x,273,10-25%,2,0.007326007326007326
25021973B2,5x,273,<=5%,271,0.9926739926739927
25021973B2,20x,3837,<=5%,3830,0.9981756580661976
25021973B2,20x,3837,5-10%,7,0.0018243419338024498
25022019B2,5x,112,<=5%,112,1.0
25022019B2,20x,1494,<=5%,1494,1.0
25022038B2,5x,111,<=5%,111,1.0
25022038B2,20x,1581,<=5%,1581,1.0
25022262B2,5x,242,<=5%,242,1.0
25022262B2,20x,3520,<=5%,3520,1.0
25022278B2,5x,201,<=5%,201,1.0
25022278B2,20x,2839,<=5%,2839,1.0
25022330B2,5x,269,<=5%,269,1.0
25022330B2,20x,3644,<=5%,3644,1.0
25022343B3,5x,268,<=5%,268,1.0
25022343B3,20x,3850,<=5%,3850,1.0
25022354B2,5x,312,<=5%,312,1.0
25022354B2,20x,4538,<=5%,4538,1.0
25022406B2,5x,217,<=5%,216,0.9953917050691244
25022406B2,5x,217,10-25%,1,0.004608294930875576
25022406B2,20x,3157,<=5%,3153,0.9987329743427305
25022406B2,20x,3157,>50%,4,0.0012670256572695597
25023016B6,5x,362,<=5%,362,1.0
25023016B6,20x,5337,<=5%,5337,1.0
25023184B2,5x,394,<=5%,391,0.9923857868020305
25023184B2,5x,394,5-10%,3,0.007614213197969543
25023184B2,20x,5792,<=5%,5792,1.0
25023573B,5x,191,<=5%,191,1.0
25023573B,20x,2681,<=5%,2681,1.0
25023590B3,5x,222,<=5%,222,1.0
25023590B3,20x,2995,<=5%,2995,1.0
25023590B4,5x,166,<=5%,166,1.0
25023590B4,20x,2256,<=5%,2256,1.0
25023687B2,5x,234,<=5%,234,1.0
25023687B2,20x,3293,<=5%,3293,1.0
25023690B3,5x,170,<=5%,170,1.0
25023690B3,20x,2315,<=5%,2315,1.0
25023814B,5x,287,<=5%,285,0.9930313588850174
25023814B,5x,287,5-10%,2,0.006968641114982578
25023814B,20x,4032,<=5%,4031,0.9997519841269841
25023814B,20x,4032,25-50%,1,0.000248015873015873
25023869B3,5x,136,<=5%,136,1.0
25023869B3,20x,1964,<=5%,1962,0.9989816700610998
25023869B3,20x,1964,>50%,1,0.0005091649694501018
25023869B3,20x,1964,10-25%,1,0.0005091649694501018
25023869B4,5x,202,<=5%,202,1.0
25023869B4,20x,2761,<=5%,2761,1.0
25023930B2,5x,138,<=5%,138,1.0
25023930B2,20x,1892,<=5%,1892,1.0
25023934B2,5x,359,<=5%,359,1.0
25023934B2,20x,5427,<=5%,5427,1.0
25023936B2,5x,235,<=5%,235,1.0
25023936B2,20x,3380,<=5%,3380,1.0
25023977B2,5x,200,<=5%,194,0.97
25023977B2,5x,200,25-50%,3,0.015
25023977B2,5x,200,10-25%,3,0.015
25023977B2,20x,2514,<=5%,2508,0.9976133651551312
25023977B2,20x,2514,25-50%,3,0.0011933174224343676
25023977B2,20x,2514,>50%,3,0.0011933174224343676
25024142B2,5x,131,<=5%,129,0.9847328244274809
25024142B2,5x,131,>50%,2,0.015267175572519083
25024142B2,20x,1713,<=5%,1705,0.9953298307063632
25024142B2,20x,1713,25-50%,8,0.004670169293636894
25024243B2,5x,281,<=5%,281,1.0
25024243B2,20x,4146,<=5%,4146,1.0
25024302B4,5x,166,<=5%,166,1.0
25024302B4,20x,2287,<=5%,2281,0.9973764757324005
25024302B4,20x,2287,10-25%,6,0.0026235242675994755
25024310B3,5x,405,<=5%,405,1.0
25024310B3,20x,5984,<=5%,5984,1.0
25024431B,5x,196,<=5%,196,1.0
25024431B,20x,2750,<=5%,2750,1.0
25024688B2,5x,171,<=5%,171,1.0
25024688B2,20x,2465,<=5%,2465,1.0
25024698B4,5x,311,<=5%,311,1.0
25024698B4,20x,4574,<=5%,4574,1.0
25024709B2,5x,239,<=5%,239,1.0
25024709B2,20x,3587,<=5%,3587,1.0
25024732B2,5x,192,<=5%,192,1.0
25024732B2,20x,2729,<=5%,2729,1.0
25024855B3,5x,126,<=5%,126,1.0
25024855B3,20x,1763,<=5%,1763,1.0
25024878B3,5x,324,<=5%,323,0.9969135802469136
25024878B3,5x,324,10-25%,1,0.0030864197530864196
25024878B3,20x,4685,<=5%,4685,1.0
25024982B2,5x,261,<=5%,261,1.0
25024982B2,20x,3821,<=5%,3821,1.0
25024983B2,5x,291,<=5%,290,0.9965635738831615
25024983B2,5x,291,>50%,1,0.003436426116838488
25024983B2,20x,4255,<=5%,4247,0.9981198589894242
25024983B2,20x,4255,25-50%,8,0.0018801410105757932
25025083B2,5x,217,<=5%,217,1.0
25025083B2,20x,3283,<=5%,3283,1.0
25025096B2,5x,330,<=5%,330,1.0
25025096B2,20x,4868,<=5%,4855,0.997329498767461
25025096B2,20x,4868,25-50%,13,0.0026705012325390306
25025102B2,5x,401,<=5%,400,0.9975062344139651
25025102B2,5x,401,10-25%,1,0.0024937655860349127
25025102B2,20x,5777,<=5%,5777,1.0
25025109B2,5x,359,<=5%,358,0.9972144846796658
25025109B2,5x,359,>50%,1,0.002785515320334262
25025109B2,20x,5272,<=5%,5267,0.999051593323217
25025109B2,20x,5272,>50%,5,0.0009484066767830046
25025240B,5x,146,<=5%,146,1.0
25025240B,20x,2110,<=5%,2110,1.0
25025245B2,5x,247,<=5%,247,1.0
25025245B2,20x,3596,<=5%,3596,1.0
25025251B,5x,206,<=5%,206,1.0
25025251B,20x,2941,<=5%,2941,1.0
25025262B2,5x,196,<=5%,196,1.0
25025262B2,20x,2904,<=5%,2904,1.0
25025297B,5x,310,<=5%,310,1.0
25025297B,20x,4651,<=5%,4651,1.0
25025298B2,5x,386,<=5%,386,1.0
25025298B2,20x,5726,<=5%,5726,1.0
25025506B,5x,218,<=5%,218,1.0
25025506B,20x,3046,<=5%,3046,1.0
25025509B2,5x,229,<=5%,229,1.0
25025509B2,20x,3442,<=5%,3442,1.0
25025510B1,5x,336,<=5%,336,1.0
25025510B1,20x,5062,<=5%,5062,1.0
25025510B3,5x,325,<=5%,320,0.9846153846153847
25025510B3,5x,325,10-25%,5,0.015384615384615385
25025510B3,20x,4841,<=5%,4839,0.9995868622185499
25025510B3,20x,4841,>50%,2,0.0004131377814501136
25025567B3,5x,287,<=5%,287,1.0
25025567B3,20x,4188,<=5%,4188,1.0
25025570B2,5x,422,<=5%,422,1.0
25025570B2,20x,6303,<=5%,6303,1.0
25025575B2,5x,385,<=5%,385,1.0
25025575B2,20x,5776,<=5%,5776,1.0
25025602B2,5x,506,<=5%,506,1.0
25025602B2,20x,7540,<=5%,7539,0.999867374005305
25025602B2,20x,7540,>50%,1,0.0001326259946949602
25025675B2,5x,310,<=5%,310,1.0
25025675B2,20x,4414,<=5%,4414,1.0
25025788B2,5x,445,<=5%,441,0.9910112359550561
25025788B2,5x,445,5-10%,4,0.008988764044943821
25025788B2,20x,6674,<=5%,6664,0.9985016481869943
25025788B2,20x,6674,10-25%,10,0.0014983518130056938
25025953B2,5x,410,<=5%,410,1.0
25025953B2,20x,5950,<=5%,5949,0.9998319327731092
25025953B2,20x,5950,>50%,1,0.0001680672268907563
25025960B2,5x,195,<=5%,195,1.0
25025960B2,20x,2649,<=5%,2649,1.0
25026075B2,5x,196,<=5%,196,1.0
25026075B2,20x,2883,<=5%,2883,1.0
25026081B2,5x,240,<=5%,240,1.0
25026081B2,20x,3397,<=5%,3397,1.0
25026103B3,5x,174,<=5%,174,1.0
25026103B3,20x,2557,<=5%,2557,1.0
25026163B,5x,336,<=5%,336,1.0
25026163B,20x,4868,<=5%,4868,1.0
25026180B2,5x,415,<=5%,415,1.0
25026180B2,20x,6279,<=5%,6279,1.0
25026254B2,5x,379,>50%,2,0.005277044854881266
25026254B2,5x,379,<=5%,369,0.9736147757255936
25026254B2,5x,379,10-25%,8,0.021108179419525065
25026254B2,20x,5696,<=5%,5665,0.9945575842696629
25026254B2,20x,5696,10-25%,6,0.001053370786516854
25026254B2,20x,5696,>50%,25,0.004389044943820225
25026291B2,5x,450,<=5%,450,1.0
25026291B2,20x,6838,<=5%,6838,1.0
25026669B2,5x,233,<=5%,232,0.9957081545064378
25026669B2,5x,233,>50%,1,0.004291845493562232
25026669B2,20x,3176,<=5%,3175,0.9996851385390428
25026669B2,20x,3176,>50%,1,0.00031486146095717883
25026740B2,5x,333,<=5%,333,1.0
25026740B2,20x,4969,<=5%,4969,1.0
25026798B2,5x,410,<=5%,406,0.9902439024390244
25026798B2,5x,410,10-25%,4,0.00975609756097561
25026798B2,20x,5921,<=5%,5907,0.9976355345380847
25026798B2,20x,5921,25-50%,3,0.0005066711704104037
25026798B2,20x,5921,10-25%,11,0.0018577942915048134
25027122B2,5x,247,<=5%,247,1.0
25027122B2,20x,3580,<=5%,3580,1.0
25027135B3,5x,196,<=5%,196,1.0
25027135B3,20x,2843,<=5%,2843,1.0
25027167B2,5x,239,<=5%,239,1.0
25027167B2,20x,3488,<=5%,3488,1.0
25027290B2,5x,420,<=5%,420,1.0
25027290B2,20x,6087,<=5%,6087,1.0
25012148B3,5x,239,<=5%,239,1.0
25012148B3,20x,3493,<=5%,3493,1.0
25017073B2,5x,148,<=5%,148,1.0
25017073B2,20x,2194,<=5%,2194,1.0
25018584B,5x,246,<=5%,246,1.0
25018584B,20x,3393,<=5%,3393,1.0
25018592B,5x,98,<=5%,98,1.0
25018592B,20x,1359,<=5%,1359,1.0
2490526B3,5x,201,<=5%,201,1.0
2490526B3,20x,2774,<=5%,2774,1.0
2490547B2,5x,189,<=5%,189,1.0
2490547B2,20x,2521,<=5%,2521,1.0
2490750B4,5x,79,<=5%,79,1.0
2490750B4,20x,1097,<=5%,1097,1.0
2490820B2,5x,133,<=5%,133,1.0
2490820B2,20x,1812,<=5%,1812,1.0
2490820B3,5x,134,<=5%,134,1.0
2490820B3,20x,1844,<=5%,1844,1.0
2490837B2,5x,209,<=5%,209,1.0
2490837B2,20x,2909,<=5%,2909,1.0
2490844B1,5x,265,<=5%,265,1.0
2490844B1,20x,3668,<=5%,3668,1.0
2490860B2,5x,291,<=5%,291,1.0
2490860B2,20x,4208,<=5%,4208,1.0
2490963B2,5x,258,<=5%,256,0.9922480620155039
2490963B2,5x,258,25-50%,2,0.007751937984496124
2490963B2,20x,3611,<=5%,3611,1.0
2490964B2,5x,113,<=5%,112,0.9911504424778761
2490964B2,5x,113,10-25%,1,0.008849557522123894
2490964B2,20x,1439,<=5%,1439,1.0
2490972B8,5x,191,<=5%,191,1.0
2490972B8,20x,2801,<=5%,2801,1.0
2490978B2,5x,138,<=5%,138,1.0
2490978B2,20x,1934,<=5%,1934,1.0
2491131B2,5x,264,<=5%,264,1.0
2491131B2,20x,3875,<=5%,3875,1.0
2491191B2,5x,223,<=5%,223,1.0
2491191B2,20x,3305,<=5%,3305,1.0
2491191B3,5x,315,<=5%,315,1.0
2491191B3,20x,4558,<=5%,4558,1.0
2491226B2,5x,193,<=5%,192,0.9948186528497409
2491226B2,5x,193,5-10%,1,0.0051813471502590676
2491226B2,20x,2680,<=5%,2678,0.9992537313432835
2491226B2,20x,2680,5-10%,2,0.0007462686567164179
2491275B2,5x,214,<=5%,214,1.0
2491275B2,20x,3062,<=5%,3062,1.0
2491560B2,5x,128,<=5%,128,1.0
2491560B2,20x,1611,<=5%,1611,1.0
25001929B3,5x,179,<=5%,178,0.994413407821229
25001929B3,5x,179,>50%,1,0.00558659217877095
25001929B3,20x,2411,<=5%,2411,1.0
25001939B2,5x,241,<=5%,241,1.0
25001939B2,20x,3385,<=5%,3385,1.0
25001965B2,5x,150,<=5%,150,1.0
25001965B2,20x,2014,<=5%,2014,1.0
25001966B2,5x,259,<=5%,259,1.0
25001966B2,20x,3708,<=5%,3708,1.0
25002073B3,5x,172,<=5%,172,1.0
25002073B3,20x,2331,<=5%,2331,1.0
25002238B,5x,343,<=5%,337,0.9825072886297376
25002238B,5x,343,25-50%,6,0.01749271137026239
25002238B,20x,4907,<=5%,4897,0.9979620949663746
25002238B,20x,4907,10-25%,10,0.002037905033625433
25002328B2,5x,87,<=5%,87,1.0
25002328B2,20x,1120,<=5%,1120,1.0
25002329B2,5x,252,<=5%,252,1.0
25002329B2,20x,3519,<=5%,3519,1.0
25002366B6,5x,246,<=5%,246,1.0
25002366B6,20x,3546,<=5%,3546,1.0
25002388B2,5x,109,<=5%,109,1.0
25002388B2,20x,1373,<=5%,1373,1.0
25002391B2,5x,220,<=5%,220,1.0
25002391B2,20x,3101,10-25%,8,0.0025798129635601417
25002391B2,20x,3101,<=5%,3093,0.9974201870364399
25002472B2,5x,363,<=5%,363,1.0
25002472B2,20x,5416,<=5%,5416,1.0
25002496B2,5x,109,<=5%,109,1.0
25002496B2,20x,1437,<=5%,1437,1.0
25002504B2,5x,346,<=5%,346,1.0
25002504B2,20x,5058,<=5%,5058,1.0
25002663B5,5x,341,<=5%,338,0.9912023460410557
25002663B5,5x,341,10-25%,3,0.008797653958944282
25002663B5,20x,5073,<=5%,5072,0.9998028779814705
25002663B5,20x,5073,>50%,1,0.00019712201852946975
25002744B2,5x,195,<=5%,195,1.0
25002744B2,20x,2776,<=5%,2776,1.0
25002788B2,5x,211,<=5%,211,1.0
25002788B2,20x,3013,<=5%,3013,1.0
25002789B2,5x,249,<=5%,244,0.9799196787148594
25002789B2,5x,249,25-50%,2,0.008032128514056224
25002789B2,5x,249,10-25%,3,0.012048192771084338
25002789B2,20x,3576,<=5%,3571,0.9986017897091722
25002789B2,20x,3576,>50%,2,0.0005592841163310962
25002789B2,20x,3576,25-50%,3,0.0008389261744966443
25002801B1,5x,168,<=5%,168,1.0
25002801B1,20x,2401,<=5%,2401,1.0
25002804B2,5x,333,<=5%,333,1.0
25002804B2,20x,4763,<=5%,4763,1.0
25002897B2,5x,177,<=5%,177,1.0
25002897B2,20x,2569,<=5%,2569,1.0
25002898B2,5x,105,<=5%,105,1.0
25002898B2,20x,1484,<=5%,1484,1.0
25002906B2,5x,186,<=5%,186,1.0
25002906B2,20x,2697,<=5%,2697,1.0
25002907B3,5x,189,<=5%,189,1.0
25002907B3,20x,2681,<=5%,2681,1.0
25003038B2,5x,392,<=5%,392,1.0
25003038B2,20x,5702,<=5%,5702,1.0
25009124B2,5x,223,<=5%,223,1.0
25009124B2,20x,3331,<=5%,3327,0.9987991594115881
25009124B2,20x,3331,>50%,2,0.0006004202942059442
25009124B2,20x,3331,5-10%,2,0.0006004202942059442
25009148B3,5x,176,<=5%,176,1.0
25009148B3,20x,2470,<=5%,2470,1.0
25009148B4,5x,124,<=5%,124,1.0
25009148B4,20x,1748,<=5%,1748,1.0
25009294B2,5x,210,<=5%,210,1.0
25009294B2,20x,3106,<=5%,3106,1.0
25009297B,5x,344,<=5%,344,1.0
25009297B,20x,5102,<=5%,5102,1.0
25009367B2,5x,252,<=5%,252,1.0
25009367B2,20x,3738,<=5%,3738,1.0
25009529B2,5x,170,<=5%,170,1.0
25009529B2,20x,2464,<=5%,2464,1.0
25009539B3,5x,222,<=5%,222,1.0
25009539B3,20x,3086,<=5%,3086,1.0
25009578B4,5x,287,<=5%,287,1.0
25009578B4,20x,4092,<=5%,4092,1.0
25009747B,5x,293,<=5%,293,1.0
25009747B,20x,4150,<=5%,4150,1.0
25009756B2,5x,236,<=5%,236,1.0
25009756B2,20x,3381,<=5%,3381,1.0
25015064B,5x,74,<=5%,74,1.0
25015064B,20x,1022,<=5%,1022,1.0
2460615-B4,5x,157,<=5%,157,1.0
2460615-B4,20x,2071,<=5%,2071,1.0
2460943-B3,5x,98,<=5%,98,1.0
2460943-B3,20x,1349,<=5%,1349,1.0
2462468-B2,5x,197,<=5%,197,1.0
2462468-B2,20x,2686,<=5%,2686,1.0
2462609-B2,5x,61,<=5%,61,1.0
2462609-B2,20x,821,<=5%,821,1.0
2462939-B,5x,99,<=5%,99,1.0
2462939-B,20x,1451,<=5%,1451,1.0
2463367-B2,5x,301,<=5%,299,0.9933554817275747
2463367-B2,5x,301,5-10%,2,0.006644518272425249
2463367-B2,20x,4380,<=5%,4377,0.9993150684931507
2463367-B2,20x,4380,25-50%,3,0.0006849315068493151
2476286-B2,5x,302,<=5%,302,1.0
2476286-B2,20x,4315,<=5%,4315,1.0
2476299-B2,5x,227,<=5%,224,0.986784140969163
2476299-B2,5x,227,25-50%,3,0.013215859030837005
2476299-B2,20x,3089,<=5%,3087,0.9993525412754937
2476299-B2,20x,3089,25-50%,2,0.0006474587245063128
2476693-B3,5x,220,<=5%,220,1.0
2476693-B3,20x,3003,<=5%,3003,1.0
2477926-B4,5x,156,<=5%,156,1.0
2477926-B4,20x,2143,<=5%,2142,0.9995333644423705
2477926-B4,20x,2143,>50%,1,0.0004666355576294914
2482111-B2,5x,424,<=5%,421,0.9929245283018868
2482111-B2,5x,424,10-25%,1,0.0023584905660377358
2482111-B2,5x,424,>50%,2,0.0047169811320754715
2482111-B2,20x,6180,<=5%,6168,0.9980582524271845
2482111-B2,20x,6180,10-25%,5,0.0008090614886731392
2482111-B2,20x,6180,25-50%,7,0.0011326860841423948
2482883-B2,5x,390,<=5%,390,1.0
2482883-B2,20x,5651,<=5%,5651,1.0
2483073-B3,5x,231,<=5%,231,1.0
2483073-B3,20x,3203,<=5%,3203,1.0
2483850-B2,5x,163,<=5%,161,0.9877300613496932
2483850-B2,5x,163,10-25%,2,0.012269938650306749
2483850-B2,20x,2419,<=5%,2419,1.0
2484660-B2,5x,201,<=5%,201,1.0
2484660-B2,20x,2946,<=5%,2946,1.0
2484791-B2,5x,206,<=5%,206,1.0
2484791-B2,20x,2771,<=5%,2771,1.0
2484862-B3,5x,236,<=5%,236,1.0
2484862-B3,20x,3317,<=5%,3317,1.0
2485164-B2,5x,146,<=5%,146,1.0
2485164-B2,20x,2004,<=5%,2004,1.0
2485276-B3,5x,147,<=5%,147,1.0
2485276-B3,20x,1711,<=5%,1711,1.0
2485473-B2,5x,263,<=5%,263,1.0
2485473-B2,20x,3743,<=5%,3743,1.0
2485536-B2,5x,192,<=5%,192,1.0
2485536-B2,20x,2655,<=5%,2652,0.9988700564971752
2485536-B2,20x,2655,25-50%,3,0.0011299435028248588
2485632-B,5x,149,<=5%,149,1.0
2485632-B,20x,2029,<=5%,2029,1.0
2486102-B2,5x,77,<=5%,77,1.0
2486102-B2,20x,984,<=5%,984,1.0
2487043-B,5x,109,<=5%,109,1.0
2487043-B,20x,1513,<=5%,1496,0.9887640449438202
2487043-B,20x,1513,25-50%,8,0.005287508261731659
2487043-B,20x,1513,10-25%,9,0.005948446794448116
2487053-B2,5x,202,<=5%,202,1.0
2487053-B2,20x,2933,<=5%,2933,1.0
2487063-B2,5x,121,<=5%,120,0.9917355371900827
2487063-B2,5x,121,>50%,1,0.008264462809917356
2487063-B2,20x,1409,<=5%,1409,1.0
2487518-B,5x,91,<=5%,91,1.0
2487518-B,20x,1281,<=5%,1281,1.0
2487567-B2,5x,103,<=5%,103,1.0
2487567-B2,20x,1480,<=5%,1480,1.0
2488040-B,5x,256,<=5%,256,1.0
2488040-B,20x,3714,<=5%,3714,1.0
2488302-B2,5x,244,25-50%,2,0.00819672131147541
2488302-B2,5x,244,<=5%,242,0.9918032786885246
2488302-B2,20x,3415,<=5%,3415,1.0
2488335-B,5x,358,<=5%,353,0.9860335195530726
2488335-B,5x,358,>50%,5,0.013966480446927373
2488335-B,20x,5092,<=5%,5083,0.9982325216025137
2488335-B,20x,5092,25-50%,9,0.001767478397486253
2488960-B2,5x,221,<=5%,221,1.0
2488960-B2,20x,3331,<=5%,3331,1.0
2488987-B2,5x,262,<=5%,260,0.9923664122137404
2488987-B2,5x,262,>50%,2,0.007633587786259542
2488987-B2,20x,3617,<=5%,3607,0.9972352778545757
2488987-B2,20x,3617,25-50%,10,0.002764722145424385
25012737B4,5x,122,<=5%,122,1.0
25012737B4,20x,1619,<=5%,1619,1.0
25013062B2,5x,99,<=5%,99,1.0
25013062B2,20x,1277,<=5%,1277,1.0
25013189B4,5x,119,<=5%,119,1.0
25013189B4,20x,1672,<=5%,1671,0.9994019138755981
25013189B4,20x,1672,5-10%,1,0.0005980861244019139
25013629B6,5x,375,<=5%,375,1.0
25013629B6,20x,5266,<=5%,5266,1.0
25013977B2,5x,340,<=5%,340,1.0
25013977B2,20x,5069,<=5%,5069,1.0
25014298B2,5x,83,<=5%,83,1.0
25014298B2,20x,1181,<=5%,1181,1.0
25014627B3,5x,147,<=5%,147,1.0
25014627B3,20x,1862,<=5%,1862,1.0
25015052B3,5x,280,<=5%,280,1.0
25015052B3,20x,4110,<=5%,4110,1.0
25015191B2,5x,201,<=5%,201,1.0
25015191B2,20x,2780,<=5%,2780,1.0
25015191B3,5x,149,<=5%,149,1.0
25015191B3,20x,2172,<=5%,2172,1.0
25015215B2,5x,145,<=5%,145,1.0
25015215B2,20x,1991,<=5%,1991,1.0
25015421B3,5x,302,<=5%,302,1.0
25015421B3,20x,4479,<=5%,4479,1.0
25015471B,5x,388,<=5%,388,1.0
25015471B,20x,5827,<=5%,5827,1.0
25015496B,5x,99,<=5%,99,1.0
25015496B,20x,1195,<=5%,1195,1.0
25015594B2,5x,162,<=5%,162,1.0
25015594B2,20x,2247,<=5%,2247,1.0
25015608B2,5x,206,<=5%,206,1.0
25015608B2,20x,2952,<=5%,2952,1.0
25015640B3,5x,144,<=5%,144,1.0
25015640B3,20x,1971,<=5%,1971,1.0
25015640B5,5x,126,<=5%,126,1.0
25015640B5,20x,1768,<=5%,1768,1.0
25015784B2,5x,51,<=5%,51,1.0
25015784B2,20x,658,<=5%,658,1.0
25015798B2,5x,36,<=5%,36,1.0
25015798B2,20x,432,<=5%,432,1.0
25015867B2,5x,173,<=5%,173,1.0
25015867B2,20x,2343,<=5%,2343,1.0
25016027B,5x,172,<=5%,172,1.0
25016027B,20x,2444,<=5%,2444,1.0
25016031B2,5x,240,<=5%,240,1.0
25016031B2,20x,3474,<=5%,3474,1.0
25016827B2,5x,277,<=5%,277,1.0
25016827B2,20x,3978,<=5%,3978,1.0
25017341B3,5x,119,<=5%,119,1.0
25017341B3,20x,1641,<=5%,1641,1.0
25017342B2,5x,133,<=5%,133,1.0
25017342B2,20x,1906,<=5%,1906,1.0
25017355B4,5x,142,<=5%,142,1.0
25017355B4,20x,1808,<=5%,1808,1.0
25017499B,5x,42,<=5%,42,1.0
25017499B,20x,597,<=5%,597,1.0
25017500B,5x,36,<=5%,36,1.0
25017500B,20x,489,<=5%,489,1.0
25017592B3,5x,97,<=5%,97,1.0
25017592B3,20x,1178,<=5%,1178,1.0
25017730B2,5x,153,<=5%,153,1.0
25017730B2,20x,2270,<=5%,2270,1.0
25017739B2,5x,281,<=5%,281,1.0
25017739B2,20x,4162,<=5%,4162,1.0
25017923B,5x,119,<=5%,119,1.0
25017923B,20x,1532,<=5%,1532,1.0
25017930B,5x,115,<=5%,115,1.0
25017930B,20x,1492,<=5%,1492,1.0
25018478B2,5x,229,<=5%,229,1.0
25018478B2,20x,3256,<=5%,3256,1.0
25018956B3,5x,108,<=5%,108,1.0
25018956B3,20x,1526,<=5%,1526,1.0
25019094B8,5x,265,5-10%,2,0.007547169811320755
25019094B8,5x,265,<=5%,263,0.9924528301886792
25019094B8,20x,3900,<=5%,3890,0.9974358974358974
25019094B8,20x,3900,25-50%,7,0.0017948717948717949
25019094B8,20x,3900,10-25%,3,0.0007692307692307692
25019273B,5x,379,<=5%,377,0.9947229551451188
25019273B,5x,379,10-25%,2,0.005277044854881266
25019273B,20x,5410,<=5%,5410,1.0
25019294B1,5x,35,<=5%,35,1.0
25019294B1,20x,453,<=5%,453,1.0
25019294B2,5x,38,<=5%,38,1.0
25019294B2,20x,464,<=5%,464,1.0
25019335B6,5x,150,<=5%,150,1.0
25019335B6,20x,1992,<=5%,1992,1.0
25019339B2,5x,227,<=5%,227,1.0
25019339B2,20x,3354,<=5%,3354,1.0
25019339B3,5x,211,<=5%,211,1.0
25019339B3,20x,3018,<=5%,3018,1.0
25019474B2,5x,251,<=5%,251,1.0
25019474B2,20x,3619,<=5%,3619,1.0
25019503B,5x,109,<=5%,109,1.0
25019503B,20x,1589,<=5%,1589,1.0
25019629B2,5x,166,<=5%,166,1.0
25019629B2,20x,2187,<=5%,2187,1.0
25019675B2,5x,172,<=5%,172,1.0
25019675B2,20x,2526,<=5%,2526,1.0
25019705B2,5x,276,<=5%,276,1.0
25019705B2,20x,4073,<=5%,4073,1.0
25020232B,5x,341,<=5%,341,1.0
25020232B,20x,4933,<=5%,4933,1.0
25020353B2,5x,94,<=5%,94,1.0
25020353B2,20x,1279,<=5%,1279,1.0
25020556B4,5x,152,<=5%,152,1.0
25020556B4,20x,2208,<=5%,2208,1.0
25020714B4,5x,340,<=5%,340,1.0
25020714B4,20x,4936,<=5%,4936,1.0
25020799B3,5x,324,<=5%,324,1.0
25020799B3,20x,4645,<=5%,4645,1.0
25020799B5,5x,282,<=5%,282,1.0
25020799B5,20x,3920,<=5%,3920,1.0
25021196B2,5x,120,<=5%,120,1.0
25021196B2,20x,1453,<=5%,1453,1.0
25021277B3,5x,121,<=5%,121,1.0
25021277B3,20x,1635,<=5%,1635,1.0
25021277B4,5x,89,<=5%,89,1.0
25021277B4,20x,1059,<=5%,1059,1.0
25021421B2,5x,337,<=5%,337,1.0
25021421B2,20x,4940,<=5%,4940,1.0
25021487B,5x,240,<=5%,240,1.0
25021487B,20x,3366,<=5%,3366,1.0
25021555B2,5x,56,<=5%,56,1.0
25021555B2,20x,654,<=5%,654,1.0
25021558B2,5x,79,<=5%,79,1.0
25021558B2,20x,1047,<=5%,1047,1.0
25021665B2,5x,167,<=5%,167,1.0
25021665B2,20x,1990,<=5%,1990,1.0
25021665B3,5x,242,<=5%,241,0.9958677685950413
25021665B3,5x,242,25-50%,1,0.004132231404958678
25021665B3,20x,2896,<=5%,2895,0.9996546961325967
25021665B3,20x,2896,25-50%,1,0.0003453038674033149
25021672B,5x,73,<=5%,73,1.0
25021672B,20x,987,<=5%,987,1.0
25021735B5,5x,156,5-10%,2,0.01282051282051282
25021735B5,5x,156,<=5%,154,0.9871794871794872
25021735B5,20x,2142,<=5%,2139,0.9985994397759104
25021735B5,20x,2142,10-25%,3,0.0014005602240896359
25021890B4,5x,106,<=5%,106,1.0
25021890B4,20x,1454,<=5%,1454,1.0
25021890B6,5x,284,<=5%,284,1.0
25021890B6,20x,3970,<=5%,3970,1.0
25021922B2,5x,423,<=5%,423,1.0
25021922B2,20x,6173,<=5%,6173,1.0
25022013B,5x,169,<=5%,169,1.0
25022013B,20x,2339,<=5%,2339,1.0
25022344B2,5x,419,<=5%,416,0.9928400954653938
25022344B2,5x,419,5-10%,3,0.007159904534606206
25022344B2,20x,6174,<=5%,6173,0.9998380304502753
25022344B2,20x,6174,25-50%,1,0.00016196954972465177
25022458B2,5x,327,<=5%,327,1.0
25022458B2,20x,4696,<=5%,4696,1.0
25022584B2,5x,210,<=5%,209,0.9952380952380953
25022584B2,5x,210,>50%,1,0.004761904761904762
25022584B2,20x,2946,<=5%,2943,0.9989816700610998
25022584B2,20x,2946,10-25%,3,0.0010183299389002036
25022584B3,5x,80,<=5%,80,1.0
25022584B3,20x,1145,<=5%,1140,0.9956331877729258
25022584B3,20x,1145,25-50%,4,0.0034934497816593887
