slide_id,low_no_child_count,high_no_parent_count,low_count,high_count
25047538B2,0,33,122,1719
25047815B,0,63,203,2890
25047835B3,0,78,94,1239
25047844B2,0,113,119,1542
25047972B2,0,63,211,3038
25048256B2,0,120,274,3921
25048633B2,0,129,191,2771
25048669B2,0,134,347,4821
25049669B3,0,42,287,4306
25049966B2,0,24,132,1912
25049999B2,0,44,201,2832
25050326B,0,43,126,1893
25050345B2,0,69,220,3075
25050415B2,0,101,314,4480
25050830B2,0,37,166,2153
25050862B2,0,94,282,4031
25050888B2,0,38,108,1540
25050888B3,0,14,81,1015
25050984B2,0,76,243,3439
25051008B4,0,49,153,1989
25051207B5,0,112,140,1969
25052288B,0,9,96,1199
25052316B,0,41,180,2539
25052654B2,0,118,69,939
25053425B2,0,12,117,1538
25053683B2,0,38,232,3292
25054130B1,0,42,215,3032
25054130B2,0,16,71,975
25054212B,0,150,256,3745
25054489B3,0,90,220,3278
25054693B2,0,39,269,3966
25055380B2,0,82,319,4783
25055681B2,0,6,139,1913
25055778B2,0,81,345,4815
25055784B2,0,27,254,3530
25055857B2,0,102,258,3413
25057854B3,0,46,102,1408
25057856B2,0,34,229,3470
25057858B2,0,75,212,2892
25057865B1,0,31,310,4598
25058118B3,0,4,96,1259
25058118B4,0,117,275,3920
25058627B2,0,15,209,2976
25058713B2,0,215,187,2745
25058746B4,0,23,182,2630
25059470B2,0,50,144,2019
25059686B2,0,59,291,4295
25060539B2,0,10,295,4445
25061727B2,0,7,282,4032
25062444B,0,61,191,2781
25062891B4,0,89,55,714
25063228B5,0,18,101,1242
25063371B2,0,72,237,3277
25063642B,0,15,131,1913
25063642B2,0,3,35,464
25063676B,0,1,75,1079
25063676B2,0,13,184,2436
25063700B,0,34,107,1530
